"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";53,935;6,934;0,33;0,748;2,809;0,337;1,834;0,842;28,89;1,191;1,674;0,018;0,458;0
"2";40,773;7,095;0,069;0,221;2,686;0;1,017;1,247;45,571;0,242;0,564;0;0,516;0
"3";18,408;4,583;0,07;1,287;1,229;0,039;2,191;30,925;31,089;0,893;8,303;0;0,981;0
"4";60,27;17,935;0,099;0,68;15,291;0,034;1,861;0,609;0;1,867;0,521;0,01;0,822;0
"5";45,446;4,727;0,916;0,589;9,301;0,115;1,669;2,796;31,783;0,567;0,762;0,099;1,228;0
"6";27,458;4,79;0,06;0,167;0,953;0,018;0,649;0,556;63,37;1,038;0,213;0,006;0,723;0
"7";64,574;2,89;0,03;0,18;2,067;0,018;0,886;1,298;13,394;0,466;0,26;0;13,938;0
"8";37,146;3,349;0,056;2,062;1,283;0,213;5,769;1,168;44,36;3,397;0,444;0;0,752;0
"9";84,493;2,979;0,019;0,136;1,311;0,014;0,551;1,5;7,668;0,337;0,095;0,019;0,879;0
"10";38,647;2,596;0,015;0,611;3,199;0,081;0,616;1,442;42,02;0,759;0,635;0,024;9,355;0
"11";56,804;3,748;0,212;0,088;0,682;0,02;0,748;0,328;26,971;1,038;8,972;0,01;0,379;0
"12";20,196;3,271;0,156;1,348;0,99;0,173;0,958;2,764;67,669;1,077;1,077;0,016;0,306;0
"13";80,13;8,68;0,137;0,054;1,507;0,211;2,965;4,5;0;1,086;0,263;0,005;0,464;0
"14";53,775;25,999;0,035;0,083;1,091;0,038;1,12;0,983;14,204;0,987;0,994;0,014;0,678;0
"15";39,444;3,257;0,034;0,433;0,944;0,068;2,215;1,249;51,252;0,218;0,582;0,008;0,297;0
"16";34,611;5,094;0,09;2,158;1,966;0,188;1,93;1,692;48,02;1,791;0,369;0;2,091;0
"17";19,517;4,691;1,182;0,664;9,516;11,808;2,059;1,13;38,214;1,58;1,113;0,048;8,478;0
"18";19,401;4,691;0,756;0,19;3,566;0,031;1,158;1,569;65,986;1,251;0,994;0,059;0,346;0
"19";69,347;2,164;0,011;0,12;0,685;0,041;12,209;0,239;12,249;1,983;0,405;0,003;0,544;0
"20";33,879;3,587;0,324;0,697;2,996;0,035;1,628;0,681;52,145;0,853;1,04;0;2,134;0
"21";34,994;4,748;0,176;0,174;7,72;0,055;1,065;0,878;39,219;8,021;2,38;0;0,57;0
"22";73,375;6,909;0,079;0,063;2,374;0,043;0,366;0,63;14,274;0,99;0,647;0,004;0,245;0
"23";40,007;11,34;0,226;1,16;5,273;0;3,867;1,692;0;2,415;0,537;0,019;33,464;0
"24";78,505;8,378;0,125;0,163;0,902;0;0,534;0,379;10,012;0,174;0,382;0;0,445;0
"25";79,344;2,407;0,054;0,07;2,239;0,02;0,779;1,178;12,679;0,584;0,172;0,008;0,467;0
"26";57,41;21,592;0,71;0,91;0,874;0,008;1,195;0,368;16,157;0,329;0,227;0,017;0,202;0
"27";91,608;4,717;0,52;0,247;0,396;0,014;1,256;0,201;0;0,259;0,221;0,003;0,557;0
"28";66,947;7,387;0,727;1,079;3,637;0,144;4,823;4,937;0;1,279;2,964;0,091;5,982;0
"29";39,496;5,016;0,15;0,123;0,993;0,564;2,608;1,245;44,834;3,847;0,512;0;0,613;0
"30";86,873;3,403;0,231;0,175;1,147;0,019;0,251;0,321;6,521;0,724;0,206;0,022;0,106;0
"31";62,822;31,251;0,033;0,087;1,928;0,061;0,792;1,546;0;0,396;0,912;0,005;0,167;0
"32";35,45;6,791;0,135;0,442;1,147;0,123;1,393;0,955;47,304;0,263;5,126;0,076;0,795;0
"33";72,179;11,045;0,722;1,695;5,385;0,067;2,61;2,386;0;0,729;0,882;0,022;2,277;0
"34";97,803;0,138;0,015;0,007;0,107;0,002;0,131;0,024;1,612;0,016;0,017;0,001;0,128;0
"35";74,856;11,888;0,176;2,933;2,384;0,093;3,323;2,318;0;0,59;0,615;0;0,823;0
"36";41,932;1,626;0,124;0,028;1,033;0,039;1,179;1,203;49,831;0,661;2,04;0,01;0,293;0
"37";16,727;2,045;2,176;3,761;4,438;1,239;1,193;8,932;39,186;1,695;17,281;0,007;1,321;0
"38";95,479;0,641;0,042;0,071;0,497;0,019;0,715;0,322;0;0,384;0,372;0;1,459;0
"39";31,045;6,131;0,066;0,867;1,966;0;2,069;0,632;51,981;1,975;2,287;0;0,98;0
"40";72,055;2,568;0,053;0,172;1,39;0,042;0,724;0,766;18,16;2,585;0,219;0;1,267;0
"41";94,72;1,943;0,243;0,04;0,667;0,05;0,589;0,492;0;0,166;0,808;0,002;0,282;0
"42";94,358;1,06;0,464;0;1,083;0,013;0,696;1,718;0;0,114;0,352;0,005;0,136;0
"43";9,578;4,235;0,004;1,205;51,602;0,017;20,705;1,815;9,915;0,101;0,703;0;0,119;0
"44";69,813;8,553;6,941;1,056;3,782;0,077;3,385;2,142;0;1,989;1,361;0,252;0,65;0
"45";40,185;8,057;0,132;1,987;2,461;0,072;6,462;3,576;34,617;0,766;0,859;0,024;0,802;0
"46";58,026;3,033;0,03;0,318;1,961;0,04;0,874;0,92;33,052;0,503;0,51;0,008;0,725;0
"47";41,222;4,181;0,369;0,526;0,699;0,076;19,809;0,614;30,602;0,697;0,455;0,013;0,736;0
"48";71,5;2,774;0,38;0,082;1,694;0,012;0,331;0,981;11,601;0,547;1,305;0;8,794;0
"49";77,494;6,125;0,178;0,588;2,203;0,109;2,821;7,046;0;1,523;1,198;0,04;0,673;0
"50";23,856;3,57;0,043;0,237;1,369;0,292;0,943;2,468;54,512;0,503;4,349;0,043;7,814;0
"51";95,873;1,961;0,015;0,058;0,552;0;0,44;0,275;0;0,286;0,076;0,006;0,46;0
"52";69,763;8,323;0,244;0,456;10,607;0,227;2,516;1,189;0;3,871;0,916;0;1,888;0
"53";39,37;22,739;0,146;1,198;1,636;0,009;1,171;0,673;29,857;0,705;0,6;0,007;1,889;0
"54";92,878;0,599;0,086;0,595;0,22;0,006;0,587;0,799;4,054;0,062;0,068;0,002;0,044;0
"55";17,586;2,626;0,037;0,058;0,878;0,007;0,531;0,385;3,386;0,122;74,28;0;0,106;0
"56";44,446;4,551;0,207;0,783;2,201;0,106;6,135;1,407;37,535;1,134;0,714;0,014;0,767;0
