"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";51,663;7,37;0,914;0,267;5,656;0,334;5,707;19,874;0;3,499;3,784;0;0,932;0
"2";17,339;9,783;0,254;1,217;7,358;1,207;18,678;7,379;0;26,434;9,886;0;0,464;0
"3";38,506;46,675;0,035;0,165;2,492;0,201;1,396;2,124;0;2,04;6,056;0;0,31;0
"4";16,384;6,966;0,157;0;2,864;1,467;1,956;8,589;0;35,217;26,159;0;0,242;0
"5";97,22;0,609;0,013;0,078;0,387;0,028;0,18;0,647;0;0,353;0,484;0;0;0
"6";53,892;3,738;0,091;1,279;7,569;0,509;1,092;15,104;0;3,643;12,859;0;0,225;0
"7";50,044;6,495;0,09;0;3,661;0,448;3,209;1,765;0;1,213;32,684;0;0,39;0
"8";27,233;37,963;0,027;0,091;8,521;8,395;0,742;4,113;0;7,202;5,247;0;0,466;0
"9";23,115;5,227;0,025;0,295;3,736;0,219;9,452;7,398;0;24,785;25,659;0;0,088;0
"10";50,33;11,18;0;0;7,397;0,211;6,51;5,149;0;10,679;8,489;0;0,055;0
"11";40,497;3,592;0,063;0,271;23,332;0,248;1,731;4,483;0;2,098;12,096;0;11,588;0
"12";17,042;1,849;0,021;0;2,743;0,285;1,035;0,585;0;7,267;68,938;0;0,235;0
"13";70,668;7,668;0,074;0;1,137;0,354;0,68;5,485;0;11,051;2,642;0;0,241;0
"14";33,115;10,575;0,057;3,14;11,94;1,237;11,248;6,599;0;13,144;8,44;0;0,505;0
"15";34,887;7,58;8,334;0,25;9,345;0,245;1,149;7,924;0;24,273;5,452;0;0,56;0
"16";40,213;4,632;0,582;0;15,768;0,337;9,141;8,424;0;5,596;14,401;0;0,907;0
"17";49,262;6,642;0,374;0,391;14,588;0,362;4,209;4,015;0;5,213;7,684;0;7,26;0
"18";28,547;23,51;0,08;0,499;12,173;0,084;2,086;3,275;0;8,136;21,373;0;0,237;0
"19";18,911;35,164;0,702;0;2,607;0,383;13,397;1,197;0;3,015;24,018;0;0,605;0
"20";60,35;9,465;0,629;0,634;8,464;0,529;2,303;2,743;0;5,687;7,67;0;1,525;0
"21";44,339;7,003;0,408;0;6,623;0,215;5,338;12,606;0;4,43;18,385;0;0,653;0
"22";37,608;17,004;0,092;0,194;8,427;0,223;2,351;8,16;0;3,565;20,038;0;2,339;0
"23";66,603;2,308;0,031;0,597;4,9;0,161;1,881;4,903;0;7,004;11,08;0;0,533;0
