"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";1,141;96,814;0,004;0;0,053;0,088;0,018;1,69;0;0,078;0,016;0;0,098;0
"2";28,361;15,355;1,347;0;2,034;1,201;0;8,207;0;0,706;6,097;0;36,691;0
"3";28,288;16,739;1,133;0;6,301;22,526;0;9,944;0;0,663;7,072;0;7,334;0
"4";22,891;24,217;0,444;0;3,374;0,852;0,853;5,382;0;4,592;1,396;0;35,999;0
"5";37,312;18,142;0,247;0;16,206;1,073;0;12,957;0;4,888;2,5;0;6,674;0
"6";8,748;9,274;0,481;0;0,873;1,524;0;4,136;0;21,776;0,93;0;52,259;0
"7";51,637;11,331;0,329;0;15,563;4,783;0;5,292;0;2,528;1,807;0;6,73;0
"8";49,169;20,226;0,182;0;8,833;1,062;0;9,232;0;6,063;1,319;0;3,914;0
"9";39,774;4,929;0,291;0;10,195;1,897;0;13,11;0;3,296;12,829;0;13,679;0
"10";11,019;15,736;4,861;0;2,276;12,594;0;21,238;0;10,009;11,168;0;11,1;0
"11";21,395;9,861;0,364;0;4,288;11,396;0;35,093;0;3,819;2,21;0;11,573;0
"12";99,381;0,289;0,025;0;0,036;0,008;0;0,167;0;0,017;0,029;0;0,049;0
"13";69,315;12,087;1,177;0;2,363;1,842;0,472;6,526;0;1,601;0,15;0;4,467;0
"14";24,075;13,482;0,512;0;3,37;1,272;0;17,686;0;7,284;3,564;0;28,756;0
"15";26,816;17,601;0,316;0;11,993;5,018;1,28;11,63;0;15,774;1,108;0;8,463;0
"16";46,479;23,55;2,918;0;1,547;9,748;0;4,422;0;6,571;0,758;0;4,006;0
"17";31,753;14,57;1,114;0;8,11;2,848;5,628;11,178;0;5,474;4,452;0;14,873;0
"18";29,736;21,621;0,199;0;0,523;1,313;0;12,545;0;4,224;10,473;0;19,365;0
"19";68,427;7,502;0,362;0;4,471;0,685;0;4,764;0;7,066;1,371;0;5,351;0
"20";0,254;0,92;0,009;0;95,939;0,045;0,032;0,401;0;0,142;0,981;0;1,278;0
"21";37,537;14,463;0,853;0;4,309;9,314;2,914;8,722;0;3,992;2,156;0;15,74;0
"22";28,836;15,076;1,537;0;3,302;1,456;4,27;21,639;0;7,003;4,184;0;12,697;0
"23";50,085;35,397;1,601;0;1,068;4,154;0;3,798;0;0,975;1,27;0;1,653;0
"24";64,49;4,465;0,234;0;3,673;0,558;2,782;3,893;0;3,807;1,948;0;14,151;0
"25";18,319;10,818;0,827;0;3,574;1,733;11,33;17,415;0;3,176;9,447;0;23,36;0
"26";8,261;2,543;0,212;0;1,553;0,167;0;12,1;0;1,358;0,366;0;73,439;0
"27";10,389;17,529;1,686;0;1,081;5,27;4,303;12,094;0;15,393;6,804;0;25,452;0
"28";38,791;18,638;6,433;0;7,039;2,409;1,787;9,911;0;2,176;1,49;0;11,324;0
"29";17,148;31,003;0,71;0;16,18;1,56;2,342;6,093;0;5,054;1,072;0;18,837;0
"30";80,058;1,369;0,137;0;0,951;0,804;1,55;1,181;0;9,918;2,546;0;1,486;0
"31";14,453;27,3;0,291;0;8,782;4,206;0;15,808;0;6,869;6,643;0;15,65;0
"32";15,667;24,382;0,361;0;2,195;4,705;3,958;38,613;0;3,599;1,086;0;5,434;0
"33";27,565;22,896;0,776;0;7,908;6,184;5,804;14,654;0;0;1,676;0;12,538;0
"34";9,438;50,414;0,09;0;3,971;0,489;5,63;20,661;0;1,454;0,66;0;7,194;0
"35";4,892;5,637;0,098;0;83,739;0,558;0,456;2,026;0;0,117;0,494;0;1,983;0
"36";11,797;3,523;1,273;0;0,398;66,832;0;9,899;0;2,525;0,756;0;2,997;0
"37";43,573;5,726;0;0;3,809;1,085;0;3,979;0;3,339;3,943;0;34,545;0
"38";19,112;63,146;0;0;0,775;0,856;1,055;5,451;0;0;1,783;0;7,822;0
"39";55,583;9,036;0,762;0;2,536;1,951;0;9,966;0;9,439;2,422;0;8,305;0
"40";24,895;26,145;1,65;0;15,329;2,474;2,713;11,47;0;1,839;2,483;0;11,001;0
"41";55,753;24,014;0;0;3,713;0,985;1,109;4,272;0;2,08;4,865;0;3,209;0
"42";47,09;19,406;1,055;0;4,698;1,013;13,764;4,007;0;3,513;1,781;0;3,672;0
"43";9,191;3,27;0,542;0;0,504;0,77;0,425;2,84;0;0,366;0,476;0;81,616;0
"44";20,716;62,009;0,296;0;4,778;0,826;0,344;5,421;0;2,42;0,727;0;2,462;0
"45";61,071;4,813;0,54;0;3,698;3,16;0;5,145;0;0,614;2,909;0;18,051;0
"46";1,709;95,972;0;0;0,112;0,924;0,074;0,259;0;0,546;0,2;0;0,204;0
"47";9,091;6,906;1,059;0;0,355;0,684;0;64,995;0;5,186;10,367;0;1,356;0
"48";5,244;2,238;0,042;0;0,244;0,103;1,396;7,917;0;6,814;74,659;0;1,343;0
"49";78,406;5,778;0,709;0;0,484;0,25;1,153;2,8;0;3,395;0,667;0;6,358;0
"50";27,32;5,031;0,755;0;2,193;7,267;1,237;38,35;0;0;1,75;0;16,098;0
"51";16,761;20,168;0,645;0;2,267;0,805;0;42,767;0;1,396;3,28;0;11,911;0
"52";31,324;15,302;1,19;0;2,334;6,175;7,921;5,562;0;3,477;22,913;0;3,802;0
"53";29,136;11,519;0,999;0;4,437;1,873;18,703;8,094;0;3,097;18,201;0;3,94;0
"54";69,363;3,397;0,324;0;0,415;6,296;0;7,568;0;0,361;1,037;0;11,238;0
"55";9,889;7,935;0,153;0;3,099;2,577;0,748;30,102;0;32,317;4,825;0;8,356;0
"56";9,907;20,461;1,059;0;5,006;2,205;0;10,146;0;16,931;12,129;0;22,157;0
"57";17,178;15,493;4,85;0;3,563;1,491;0;8,912;0;30,139;2,816;0;15,558;0
"58";7,356;42,076;0,201;0;0,994;28,675;0,843;1,39;0;8,786;3,772;0;5,906;0
"59";31,768;40,342;0,484;0;3,592;1,082;3,813;7,713;0;2,373;2,069;0;6,766;0
"60";73,203;4,301;0,184;0;1,254;1,479;1,085;10,959;0;2,053;0,961;0;4,522;0
"61";77,524;8,341;0,292;0;1,022;0,655;0;3,672;0;0,959;5,398;0;2,136;0
"62";36,693;12,035;1,262;0;2,845;7,516;1,223;22,86;0;5,145;2,273;0;8,147;0
