"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";63,81;20,536;0;0;2,208;1,361;4,663;0,456;0;3,346;1,257;1,055;1,308;0
"2";37,08;33,869;0;0,504;4,534;0,55;7,674;1,662;0;3,27;8,382;0,404;2,071;0
"3";79,428;4,606;0;0;3,543;0,038;4,364;2,056;0;0,616;3,883;0,099;1,367;0
"4";91,14;5,553;0;0,016;0,709;0,007;0,349;0,084;0;0,355;0,851;0,013;0,922;0
"5";95,395;2,331;0;0,007;0,696;0,012;0,293;0,098;0;0,019;0,292;0,004;0,851;0
"6";59,274;21,424;0;0,07;6,383;0,048;7,534;0,2;0;1,094;1,607;0,127;2,238;0
"7";46,638;37,067;0;0,137;3,06;0,106;4,28;0,77;0;2,663;3,489;0,501;1,29;0
"8";28,083;55,728;0;0;1,712;0,079;2,917;0,165;0;8,352;2,021;0,165;0,776;0
"9";64,145;22,25;0;0;1,769;0,201;6,577;0,332;0;1,347;1,872;0,206;1,301;0
"10";50,278;15,303;0;0;7,017;0;6,735;0,329;0;6,196;3,932;0,455;9,754;0
"11";44,13;26,216;0;0,09;7,891;0;1,545;1,086;0;1,309;1,779;0,161;15,792;0
"12";71,023;12,563;0;0;1,708;2,277;3,286;0,423;0;1,172;5,383;0,27;1,893;0
"13";80,099;5,533;0;0,261;5,263;0,084;0,822;0,657;0;1,964;3,334;0,073;1,91;0
"14";45,555;11,805;0;0;5,35;0,342;3,963;1,326;0;23,497;5,01;0,304;2,846;0
"15";81,332;10,064;0;0,412;1,9;0,023;3,043;0,26;0;0,113;2,041;0,097;0,715;0
"16";29,966;20,89;0;0,141;4,997;0,036;16,803;0,51;0;19,04;1,775;0,436;5,405;0
"17";47,91;10,611;0;4,845;6,332;0,071;6,33;0,697;0;15,501;3,887;0,281;3,534;0
"18";54,563;17,54;0;0;2;0,122;14,627;1,097;0;2,539;3,77;0,49;3,252;0
"19";66,868;19,955;0;0,082;1,623;0,043;2,534;1,924;0;5,779;0,535;0,018;0,638;0
"20";79,461;6,129;0;0,085;1,814;0,054;4,521;0,383;0;3,147;2,419;0,251;1,737;0
"21";32,317;10,83;0;1,979;2,914;0,205;15,926;0,374;0;1,711;16,222;0,653;16,87;0
"22";31,162;47,204;0;0;2,924;0,118;2,146;2,675;0;1,75;2,671;0,313;9,037;0
"23";49,679;22,674;0;1,479;1,437;0,136;1,792;4,512;0;2,737;14,025;0,132;1,395;0
"24";25,803;15,288;0;0,127;3,069;1,156;46,078;0,261;0;0,652;2,234;0,178;5,155;0
