"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";82,855;3,925;0,015;3,548;0,881;0,067;4,846;1,105;0;2,371;0,108;0;0;0,278
"2";74,293;3,156;0,162;0,631;3,374;0,161;5,684;0,472;0;11,341;0,647;0;0;0,08
"3";35,195;0,721;0,029;0,265;0,656;0,027;1,679;0,355;0;60,543;0,427;0;0;0,103
"4";83,894;1,704;0,108;0,97;0,872;0,486;6,143;0,914;0;4,24;0,546;0;0;0,124
"5";97,815;0,225;0,002;0,214;0,165;0,253;0,375;0,203;0;0,726;0,015;0;0;0,006
"6";72,992;5,676;0,205;2,579;4,446;0,324;9,619;0,978;0;2,581;0,306;0;0;0,295
"7";79,586;2,934;0,005;10,246;0,935;0,117;1,626;0,979;0;2,885;0,233;0;0;0,454
"8";13,634;1,077;0,007;0,213;0,607;0,033;0,757;0,26;0;1,168;82,232;0;0;0,013
"9";78,267;3,482;0,133;1,144;3,177;0,457;8,605;1,321;0;2,617;0,236;0;0;0,562
"10";70,959;2,418;0;0,805;1,672;0,128;9,008;1,373;0;13,088;0,314;0;0;0,235
"11";23,936;0,272;0,015;75,236;0,171;0,007;0,162;0,042;0;0,125;0,01;0;0;0,025
"12";74,632;9,742;0,107;1,076;3,081;0,11;3,858;0,371;0;6,749;0,274;0;0;0
"13";25,209;3,815;0,053;0,405;6,475;0,13;16,082;17,361;0;28,878;1,38;0;0;0,212
"14";55,793;4,299;0,043;2,01;31,024;0,074;3,507;1,06;0;1,158;0,708;0;0;0,325
"15";59,304;4,845;0,391;1,472;8,036;0,156;6,975;2,624;0;8,467;7,515;0;0;0,215
"16";77,835;15,44;0;0,38;1,035;0,035;1,817;0,539;0;2,138;0,182;0;0;0,6
"17";22,772;0,687;0,021;0,284;2,163;0,018;3,011;1,225;0;3,675;0,071;0;0;66,072
"18";96,585;0,395;0,003;1,177;0,603;0,014;0,602;0,084;0;0,496;0,029;0;0;0,01
"19";91,792;0,335;0,037;0,167;1,593;0,036;0,637;0,761;0;0,624;0,089;0;0;3,929
"20";36,346;7,266;0,267;2,685;14,084;2,385;4,715;1,061;0;29,679;0,321;0;0;1,192
"21";87,194;1,216;0,048;0,278;2,413;0,145;7,576;0,172;0;0,692;0,225;0;0;0,042
"22";74,896;1,397;0,045;3,147;7,826;0,075;8,372;1,059;0;2,881;0,265;0;0;0,038
"23";84,428;3,173;0,182;1,698;1,428;0,094;2,702;0,579;0;5,075;0,581;0;0;0,059
"24";77,152;8,036;0,161;1,817;2,553;0,277;5,765;1,155;0;2,715;0,162;0;0;0,208
"25";13,575;0,459;0,015;0,396;0,254;0,083;82,327;0,32;0;2,398;0,093;0;0;0,08
"26";93,899;1,561;0,012;0,178;0,444;0,1;1,511;0,118;0;2,054;0,073;0;0;0,049
"27";63,679;1,578;1,515;0,663;1,64;0,056;20,556;1,314;0;8,328;0,277;0;0;0,393
"28";52,579;2,829;0,012;1,479;2,556;0,099;13,919;1,23;0;3,431;0,438;0;0;21,428
"29";69,939;21,436;0,041;3,043;1,511;0,03;1,744;0,358;0;0,961;0,293;0;0;0,644
"30";74,882;1,237;0,033;0,949;1,596;0,058;8,172;3,69;0;8,601;0,622;0;0;0,159
"31";49,362;11,301;1,722;2,43;7,134;0,132;18,86;1,006;0;6,299;1,488;0;0;0,268
"32";60,733;12,638;0,692;1,285;2,506;0,346;2,659;14,432;0;3,987;0,22;0;0;0,503
"33";73,992;0,488;0,011;0,61;0,411;0,075;0,451;0,127;0;23,675;0,143;0;0;0,017
"34";54,767;13,842;0,037;0,983;11,634;0,396;4,635;1,309;0;11,96;0,237;0;0;0,2
"35";65,772;2,399;0,314;5,747;4,825;0,565;5,606;7,342;0;6,901;0,46;0;0;0,069
"36";93,906;1,581;0,015;0,803;0,58;0,275;1,556;0,352;0;0,62;0,312;0;0;0
"37";99,472;0,155;0,001;0,05;0,079;0,005;0,093;0,017;0;0,1;0,025;0;0;0,003
"38";44,771;2,789;0,027;0,222;46,452;0,039;1,991;0,333;0;3,075;0,228;0;0;0,072
"39";70,794;6,075;0,025;2,773;2,399;0,133;6,969;1,609;0;7,781;0,958;0;0;0,485
"40";71,04;7,191;0,19;4,523;5,485;0,122;4,415;0,745;0;5,817;0,472;0;0;0
"41";64,071;1,657;0,301;1,15;1,244;0,178;29,157;0,427;0;1,575;0,239;0;0;0
"42";27,481;3,116;0,242;2,34;12,074;1,212;45,091;1,247;0;6,783;0,328;0;0;0,088
"43";94,405;0,403;0,077;0,341;0,451;0,068;2,825;0,146;0;0,641;0,431;0;0;0,211
"44";54,643;33,036;0,035;0,55;2,212;0,116;4,172;0,45;0;4,562;0,113;0;0;0,111
"45";11,606;1,833;0,019;1,102;81,009;2,339;0,578;0,184;0;1,173;0,093;0;0;0,064
"46";51,518;0,342;0,004;0,226;1,274;0,072;1,265;43,739;0;1,472;0,056;0;0;0,033
"47";60,563;1,379;0,413;13,018;2,104;0,037;3,243;0,505;0;2,29;0,989;0;0;15,46
"48";78,591;3,06;0,092;1,538;2,187;0,205;9,032;3,073;0;1,68;0,356;0;0;0,187
"49";10,149;0,665;0,01;0,208;1,116;9,729;2,164;40,375;0;1,15;0,151;0;0;34,282
"50";65,953;2,475;0,167;22,194;1,025;0,099;4,411;1,179;0;1,973;0,424;0;0;0,101
"51";47,809;2,746;0,332;1,046;3,728;0,215;6,188;20,101;0;17,353;0,18;0;0;0,302
"52";77,554;2,448;0,063;1,38;2,761;0,283;4,181;1,004;0;9,194;0,997;0;0;0,136
"53";75,118;3,914;0,043;9,351;2,192;0,203;5,538;0,64;0;2,145;0,856;0;0;0
"54";66,061;2,996;0,034;1,187;5,776;0,169;17,548;2,614;0;2,821;0,32;0;0;0,474
"55";64,326;6,893;0,055;5,372;7,876;0,779;6,925;1,992;0;2,444;0,226;0;0;3,111
"56";79,824;3,718;0,07;3,177;2,451;0,028;3,904;0,585;0;5,322;0,874;0;0;0,047
"57";70,385;3,897;0,097;1,326;2,764;0,06;3,345;11,795;0;3,572;0,899;0;0;1,859
"58";40,127;3,3;0,017;14,019;34,28;0,06;4,153;1,482;0;2,18;0,221;0;0;0,16
"59";99,077;0,057;0,002;0,037;0,055;0,009;0,465;0,072;0;0,104;0,12;0;0;0,002
"60";95,935;0,614;0,021;0,564;0,561;0,057;1,069;0,318;0;0,782;0,025;0;0;0,054
"61";95,836;0,531;0,004;0,53;1;0,069;0,921;0,246;0;0,715;0,107;0;0;0,042
"62";98,3;0,263;0,002;0,045;0,305;0,01;0,784;0,06;0;0,209;0,014;0;0;0,009
"63";61,436;14,943;0,159;5,359;2,88;0,169;7,226;0,664;0;6,125;0,673;0;0;0,366
"64";73,55;5,631;0,603;1,116;2,292;0,106;4,425;0,757;0;9,967;0,55;0;0;1,002
"65";56,627;30,245;0,021;2,373;2,293;0,226;3,845;1,53;0;1,713;0,79;0;0;0,337
"66";82,067;0,834;0,108;1,302;2,421;0,06;4,83;2,776;0;5,223;0,255;0;0;0,124
"67";62,168;5,286;0,214;0,838;6,83;0,298;18,839;0,929;0;3,533;0,651;0;0;0,414
"68";67,795;11,04;0,421;2,327;3,13;0,173;8,053;0,78;0;2,864;1,8;0;0;1,617
"69";57,23;4,359;0,05;1,922;3,138;0,116;16,141;12,347;0;3,793;0,394;0;0;0,511
"70";84,606;1,974;0,036;0,647;2,695;0,05;4,37;0,558;0;1,415;3,65;0;0;0
"71";71,039;10,733;0,058;2,386;2,581;0,257;7,444;0,796;0;2,922;1,527;0;0;0,259
"72";69,572;3,243;0,107;2,389;6,19;0,276;6,973;0,582;0;9,895;0,423;0;0;0,348
"73";81,239;3,702;0,034;0,885;1,782;0,22;3,747;0,929;0;6,856;0,529;0;0;0,078
