"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";21,756;60,528;0,052;0,024;1,598;0,016;0,98;0,269;13,498;0,141;0,271;0;0,832;0,035
"2";21,224;2,019;0,149;0,148;7,147;0,024;2,331;0,487;62,569;0,308;0,541;0;3,053;0
"3";15,303;1,261;0,28;0,028;57,073;0,009;0,664;0,18;24,622;0,229;0,205;0;0,131;0,015
"4";17,25;4,532;0,045;0,159;0,787;0,019;0,428;0,339;75,865;0,249;0,18;0;0,129;0,018
"5";70,962;1,692;0,118;0,017;0,777;0,039;0,407;0,606;24,677;0,273;0,285;0;0,134;0,014
"6";93,612;1,246;0,045;0,016;0,32;0,005;0,133;0,722;3,49;0,122;0,211;0;0,035;0,046
"7";58,279;28,071;0,447;0,248;1,442;0,124;2,262;1,316;0;5,143;1,671;0;0,997;0
"8";37,732;2,581;0,06;0,273;0,649;0,119;0,975;0,258;56,262;0,629;0,327;0;0,135;0
"9";46,214;3,392;0,042;0,508;0,486;0,007;1,121;0,451;45,745;0,877;0,433;0;0,701;0,022
"10";35,034;4,284;0,027;0,675;0,481;0,388;0,38;1,505;55,56;0,82;0,193;0;0,41;0,243
"11";52,399;15,896;14,294;0,32;7,644;0,087;2,909;2,963;0;1,562;0,847;0;0,744;0,335
"12";17,28;2,446;0,07;0,051;1,262;0,072;1,24;0,384;65,346;9,922;1,248;0;0,419;0,259
"13";66,748;3,027;0,074;0;0,462;0,018;0,319;0,159;28,796;0,081;0,13;0;0,154;0,031
"14";34,602;8,431;1,366;0,441;2,402;0,048;12,847;1,189;35,914;0,614;0,327;0;0,205;1,614
"15";29,123;2,351;0,097;0,037;6,242;0,017;0,942;6,361;48,599;5,602;0,318;0;0,198;0,113
"16";21,827;1,894;0,078;0;1,992;0,034;0,365;0,242;70,561;2,079;0,163;0;0,714;0,051
"17";12,911;37,682;0,094;0,083;2,785;3,176;0,318;0,853;40,198;0,362;0,534;0;0,632;0,372
"18";30,881;6,252;0,167;0,111;1,399;0,068;1,863;0,736;44,519;1,059;11,206;0;1,74;0
"19";7,951;1,973;0,014;0,012;0,564;0,057;0,119;0,386;38,344;0,109;0,248;0;17,817;32,407
"20";75,882;3,855;0,085;2,29;2,117;0,022;0,666;0,98;12,171;1,302;0,291;0;0,187;0,152
"21";13,009;1,188;0,056;0,021;0,34;0,024;0,103;0,319;84,083;0,461;0,258;0;0,066;0,073
"22";33,418;4,499;0,177;2,106;0,596;0,029;0,527;0,438;56,461;0,342;0,92;0;0,488;0
