"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"71";0,066;21,462;2,703;9,857;3,62;0,595;47,45;0;1,517;11,205;1,524
"72";0,133;79,061;2,923;3,891;0,148;2,245;7,715;0;1,502;1,483;0,9
"73";4,706;35,969;10,911;18,515;0,575;3,115;19,092;0;0,29;2,785;4,041
"74";0,308;36,388;10,495;22,018;1,36;1,441;19,401;0;0,547;3,944;4,097
"75";1,043;42,219;13,606;10,574;0,431;3,616;19,044;0;0,548;5,529;3,39
"76";0,542;20,479;4,377;33,204;0,644;7,312;6,977;0;0,219;1,77;24,477
"77";0,055;28,38;2,313;16,547;0,743;0,967;22,725;0;0,703;0,785;26,783
"78";4,188;17,926;6,192;9,666;1,309;1,185;32,893;0;0,174;1,91;24,557
"79";0,29;13,31;18,343;51,258;0,183;0,493;9,078;0;0,074;1,4;5,57
"80";0,026;69,024;3,223;12,2;0,672;3,216;8,615;0;0,075;2,16;0,79
"81";0,098;17,753;9,843;19,067;3,72;3,444;35,905;0;0,586;2,809;6,775
"82";0,129;51,488;6,792;20,749;0,814;1,547;8,824;0;1,296;1,664;6,699
"83";0,217;63,157;6,825;7,477;2,507;1,253;9,65;0;2,563;1,903;4,449
"84";0,785;28,948;4,685;24,773;0,558;2,298;8,64;0;25,75;0,687;2,878
"85";0,024;1,575;0,352;0,497;0,032;0,251;1,946;0;0,065;0,045;95,213
"86";1,221;16,503;4,897;8,387;0,11;3,899;60,264;0;0,495;1,461;2,763
"87";0,026;5,845;0,592;1,11;0;85,652;3,673;0;0,068;0,984;2,051
"88";0,788;20,771;6,569;19,754;3,017;2,404;24,559;0;0,182;12,349;9,605
"89";0,003;0,359;0,099;98,99;0,045;0,086;0,191;0;0,015;0,116;0,096
"90";0,24;21,271;4,48;43,629;0,268;8,197;11,78;0;2,043;6,352;1,741
"91";0,249;14,702;4,533;43,453;0,994;2,601;27,156;0;2,36;1,787;2,165
"92";0,178;14,733;4,851;12,728;0,291;2,988;12,232;0;3,654;1,677;46,669
"93";0,019;37,372;1,503;2,791;0,045;0,232;41,449;0;0,05;0,267;16,272
"94";0,051;46,83;2,874;5,215;0,912;1,245;34,123;0;7,863;0,498;0,387
"95";0,193;85,562;3,047;3,049;0,167;0,446;4,473;0;0,052;2,151;0,86
"96";0,308;18,928;3,275;37,545;3,378;5,361;23,083;0;0,478;3,711;3,934
"97";0,107;9,858;12,484;29,596;0,219;0,341;29,089;0;0,555;0,494;17,258
"98";0,04;6,276;5,613;81,948;0,052;0,371;3,669;0;0,034;0,631;1,367
"99";3,191;19,376;14,22;10,461;0,368;0,732;43,391;0;0,458;5,267;2,536
"100";0,125;9,901;4,603;5,319;1,275;1,253;72,247;0;0,197;1,277;3,803
"101";0,083;3,206;4,796;3,572;0,028;1,645;6,901;0;0,044;0,599;79,126
"102";1,104;30,521;13,92;29,939;0,457;2,594;10,591;0;0,415;3,962;6,498
"103";0,114;62,296;2,211;13,307;0,8;1,137;15,433;0;0,207;0,957;3,538
"104";1,224;33,965;10,04;25,096;1,741;1,309;19,65;0;0,531;1,27;5,174
"105";9,583;23,489;9,626;37,381;0;1,134;13,042;0;1,166;1,127;3,453
"106";0,188;27,681;12,43;22,921;1,083;3,782;9,173;0;0,252;3,375;19,115
"107";0,74;35,738;33,543;3,055;0,872;3,828;18,096;0;0,178;1,686;2,265
"108";0,145;52,934;7,967;15,675;0,122;3,01;15,103;0;0,31;2,482;2,254
