"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";40,221;1,903;0;0,223;1,92;0,567;1,399;2,144;46,034;4,858;0,548;0,023;0,059;0,102
"2";22,423;5,179;0;0,755;2,873;1,487;2,347;0,7;53,966;8,725;1,146;0,038;0,03;0,33
"3";47,161;6,043;0;0,089;2,31;0,129;8,538;0,57;33,855;0,852;0,323;0,014;0,058;0,056
"4";42,537;1,503;0;0,125;1,77;0,559;4,32;8,33;37,846;0,992;1,837;0,046;0;0,136
"5";77,056;0,442;0;0,185;0,556;0,803;0,826;0,302;18,722;0,218;0,475;0,009;0,009;0,396
"6";35,222;0,406;0;0,146;1,081;0,466;0,878;0,234;60,452;0,768;0,236;0,014;0,015;0,083
"7";58,54;0,735;0;0,031;1,608;0,301;0,536;2,524;31,669;2,033;1,731;0,009;0,017;0,267
"8";31,465;2,697;0;0,027;0,183;0,158;0,326;0,149;39,94;24,335;0,629;0,003;0,01;0,077
"9";6,67;0,681;0;0,111;0,34;0,482;0,519;0,33;89,465;0,269;0,97;0,006;0;0,155
"10";8,763;0,484;0;4,215;1,587;2,046;0,343;0,441;80,277;1,023;0,626;0,058;0,025;0,113
"11";48,223;1,621;0;0,251;2,123;0,187;0,566;3,916;40,795;1,261;0,738;0;0,081;0,238
"12";15,448;0,303;0;0,422;2,14;0,197;0,619;0,173;78,641;0,488;0,257;0,012;0,013;1,287
"13";27,853;0,856;0;0,651;1,381;2,95;2,519;5,843;53,613;2,774;1,342;0,045;0,1;0,074
"14";67,525;0,249;0;0,056;0,519;0,085;0,365;0,211;30,463;0,355;0,116;0,004;0,007;0,044
"15";16,127;0,691;0;0,088;0,88;0,6;1,296;1,286;72,935;4,855;1,116;0,006;0,076;0,044
"16";67,55;0,178;0;0,017;0,232;0,163;0,152;0,278;30,749;0,256;0,366;0,001;0,014;0,044
"17";11,689;0,366;0;0,298;0,247;0,117;0,23;1,652;79,599;0,745;4,64;0,023;0,06;0,332
"18";18,982;6,821;0;1,669;0,518;0,142;0,49;14,799;55,29;0,694;0,375;0,006;0,023;0,19
"19";59,007;0,91;0;0,083;0,634;1,591;2,967;0,974;12,336;2,019;0,732;0,01;18,256;0,481
"20";45,554;0,55;0;0,193;0,96;0,134;0,387;0,246;50,86;0,686;0,335;0,006;0,012;0,076
"21";55,276;0,901;0;0,838;0,632;1,183;0,584;0,529;36,991;1,02;1,689;0,013;0,026;0,317
"22";34,472;1,819;0;0,25;1,069;0,414;0,922;0,59;49,68;3,835;5,858;0,019;0,026;1,046
"23";8,99;0,273;0;0,053;2,48;0,097;0,257;0,33;86,236;0,716;0,514;0,007;0,023;0,024
"24";52,825;1,233;0;0,475;0,53;0,55;0,714;0,604;39,774;2,333;0,814;0;0,049;0,099
"25";48,318;0,226;0;0,074;1,067;9,89;0,779;0,812;37,161;0,952;0,596;0,044;0,02;0,061
"26";18,795;1,323;0;0,056;2,4;0,387;0,919;0,702;72,439;0,728;1,58;0,033;0,336;0,301
"27";37,858;0,606;0;0,237;1,003;0,336;0,818;1,275;54,27;1,636;1,562;0,02;0,053;0,327
"28";29,171;0,671;0;0,26;0,334;0,082;1,008;38,762;27,324;1,541;0,726;0;0;0,121
"29";40,45;0,707;0;0,055;1,589;6,167;3,024;2,389;43,607;0,268;1,417;0,126;0;0,201
"30";20,933;0,345;0;0,113;0,538;2,291;1,221;0,548;72,2;0,804;0,194;0,005;0,055;0,752
"31";77,816;0,337;0;0,038;0,381;0,042;0,127;0,128;13,825;6,775;0,489;0,003;0;0,039
"32";34,762;1,356;0;0,522;0,526;0,183;0,403;0,771;60,016;0,971;0,432;0,018;0;0,039
"33";42,416;1,181;0;11,158;0,476;0,297;0,803;0,549;38,333;0,442;2,136;0;1,957;0,251
"34";10,944;0,621;0;0,234;0,674;23,668;0,809;0,362;60,96;0,649;0,412;0;0,176;0,491
"35";30,411;15,704;0;0,441;0,833;1,115;0,85;1,497;44,433;2,359;0,588;0,035;0,186;1,549
"36";42,033;1,494;0;1,429;3,273;0,39;1,475;3,468;39,313;3,229;2,823;0,017;0,043;1,012
"37";47,812;1,872;0;0,262;1,016;0,287;0,338;0,214;46,778;0,376;0,546;0,07;0,176;0,253
"38";38,174;1,129;0;0,611;1,249;1,783;1,38;1,536;49,926;1,226;2,7;0,005;0,055;0,227
"39";22,167;2,854;0;0,29;12,491;0,498;27,115;1,604;30,162;2,245;0,402;0,022;0,041;0,11
"40";15,754;2,339;0;0,627;1,852;2,333;0,94;0,371;74,074;1,194;0,385;0,016;0;0,114
"41";35,117;0,847;0;0,074;0,549;0,08;1,636;0,286;60,225;0,578;0,449;0,02;0,021;0,117
"42";47,195;1,032;0;0,731;1,101;0,264;1,053;3,534;42,316;1,838;0,811;0,01;0,067;0,048
"43";49,048;0,423;0;0,33;0,663;0,255;0,556;0,66;45,413;2,328;0,272;0,008;0;0,043
"44";27,064;4,491;0;1,146;1,037;0,436;3,351;0,554;52,155;5,972;0,825;0,036;0;2,933
"45";47,711;0,578;0;0,628;0,464;0,129;0,663;0,348;47,731;0,376;0,969;0,006;0,015;0,382
"46";46,959;0,412;0;0,252;2,455;3,528;4,215;0,292;39,411;1,371;1,014;0,013;0,045;0,031
"47";30,332;0,497;0;0,226;1,773;0,25;0,924;0,724;62,109;2,178;0,564;0,005;0,077;0,34
"48";74,609;0,191;0;0,025;0,186;0,036;0,255;0,791;19,24;0,954;0,101;0,007;0,061;3,544
"49";10,293;1,268;0;6,301;1,167;0,427;0,906;10,553;67,387;0,718;0,568;0,026;0,061;0,325
"50";23,594;22,594;0;1,208;1,992;0,427;1,044;0,968;45,698;0,605;1,471;0,023;0,157;0,219
"51";65,655;1,287;0;0,088;0,791;0,473;0,34;0,184;28,999;0,78;1,282;0,019;0,048;0,053
"52";30,623;6,713;0;0,236;1,187;0,32;3,614;0,46;53,537;1,56;1,565;0,028;0,105;0,052
"53";28,044;0,337;0;0,407;1,762;0,516;7,942;2,015;41,357;15,794;0,956;0,03;0,164;0,676
"54";57,257;3,606;0;0,574;4,536;0,484;0,851;0,617;24,535;1,491;4,022;0,03;0,078;1,919
"55";26,978;0,861;0;0,363;0,878;25,58;2,459;2,056;37,624;2,248;0,359;0,074;0,038;0,481
"56";36,336;5,675;0;0,12;0,87;0,411;1,022;0,231;53,475;0,874;0,749;0,02;0,083;0,134
"57";42,094;1,455;0;0,043;4,676;6,916;1,342;1,493;37,087;3,963;0,777;0,024;0,016;0,114
"58";84,572;0,133;0;0,024;0,165;0,453;0,064;0,097;10,321;0,24;3,782;0,003;0,006;0,138
"59";14,894;0,466;0;0,75;0,6;0,772;1,386;0,558;78,966;0,35;1,09;0,004;0,006;0,159
"60";34,425;4,033;0;0,212;5,627;2,749;4,645;1,263;20,675;2,1;5,021;0,025;11,083;8,143
"61";18,771;2,211;0;0,272;4,993;0,215;0,917;0,439;69,921;0,404;0,738;0,012;0,142;0,965
"62";70,064;0,515;0;0,12;0,97;0,197;0,836;0,219;23,438;3,106;0,381;0,005;0,009;0,139
"63";21,446;2,609;0;0,836;0,725;0,117;1,884;0,592;65,691;2,786;3,284;0,012;0,017;0
"64";88,108;0,296;0;0,12;0,322;0,116;0,253;0,453;9,161;0,637;0,322;0,004;0,043;0,166
"65";30,66;0,94;0;0,114;1,348;0,199;0,631;0,63;64,688;0,241;0,258;0,003;0,018;0,271
"66";20,981;1,157;0;3,255;0,937;0,763;0,924;0,363;69,249;0,549;0,583;0,013;0,049;1,176
"67";25,392;0,767;0;0,138;9,512;0,4;1,009;0,54;60,991;0,848;0,255;0,008;0,069;0,071
"68";33,734;0,617;0;0,871;0,933;0,656;0,89;3,479;54,243;1,355;0,682;0,004;0,03;2,506
"69";29,342;1,238;0;0,235;1,546;0,328;4,004;0,941;53,039;5,786;2,64;0,019;0,684;0,198
"70";11,086;0,316;0;0,108;1,113;0,123;0,719;0,252;38,629;0,198;0,339;0,006;47,004;0,108
"71";94,553;0,066;0;0,007;0,072;0,01;0,04;0,235;4,424;0,529;0,035;0,001;0,002;0,025
"72";12,836;0,243;0;0,076;0,481;0,137;0,436;0,253;36,47;48,582;0,219;0,008;0,02;0,239
"73";38,222;0,641;0;0,26;1,23;0,215;0,895;1,723;54,88;0,755;0,872;0,017;0;0,29
"74";47,398;1,43;0;0,187;5,032;0,365;0,676;0,673;42,771;0,336;0,916;0,135;0,02;0,062
"75";70,58;0,258;0;0,37;1,558;0,126;0,579;1,559;24,257;0,319;0,297;0,009;0,018;0,069
"76";79,921;0,241;0;0,091;3,93;0,263;2,925;0,602;11,248;0,075;0,508;0,003;0,021;0,171
"77";37,638;6,983;0;3,818;5,465;0,218;0,348;1,679;34,812;5,568;1,479;0,028;0;1,965
"78";45,392;5,814;0;0,237;0,987;0,292;0,9;2,807;38,842;2,666;0,689;1,07;0,024;0,282
"79";21,438;2,188;0;0,128;0,276;3,763;0,782;0,231;66,954;2,655;0,548;0,013;0,075;0,949
"80";13,667;0,385;0;1,157;2,537;0,479;0,774;0,625;75,696;3,389;0,61;0,028;0,034;0,621
"81";87,223;0,485;0;0,036;0,152;0,025;0,12;0,127;11,666;0,068;0,087;0,005;0,007;0
"82";44,977;0,946;0;0,136;3,493;1,923;1,582;0,301;45,039;0,256;0,425;0,021;0,732;0,171
"83";98,934;0,008;0;0,001;0,067;0,001;0,003;0,004;0,933;0,046;0,003;0;0;0,001
"84";17,704;0,858;0;0,097;0,325;0,28;0,834;0,762;77,482;0,942;0,442;0,014;0,008;0,253
"85";21,179;1,076;0;4,073;1,616;0,772;4,912;1,287;61,341;2,223;1,057;0,026;0,033;0,405
"86";12,666;0,396;0;0,221;7,811;0,429;0,904;0,758;73,08;2,818;0,69;0,088;0,086;0,053
"87";55,368;0,923;0;0,175;1,235;0,43;1,031;0,881;36,118;1,757;1,818;0,021;0,093;0,149
"88";45,183;2,497;0;0,165;0,249;0,385;0,9;0,624;44,561;5,085;0,262;0,019;0,021;0,047
"89";32,207;1,233;0;0,303;4,244;2,971;1,467;0,72;52,076;1,392;1,951;0,051;0,158;1,228
"90";16,392;0,37;0;0,156;0,623;0,952;0,858;0,712;78,79;0,269;0,298;0;0,047;0,535
"91";49,756;0,758;0;0,203;3,1;0,376;24,463;0,447;17,196;1,953;1,276;0,051;0;0,42
"92";52,05;1,293;0;0,075;0,415;0,149;0,389;5,017;38,802;0,175;1,404;0,007;0,009;0,217
"93";11,701;0,569;0;0,041;0,367;0,253;0,201;50,398;33,66;1,776;0,947;0,006;0,013;0,067
"94";43,646;0,301;0;0,097;0,847;0,324;0,528;0,473;50,402;1,252;2,038;0,007;0,053;0,03
"95";24,153;0,286;0;19,572;0,98;0,893;0,431;0,563;52,038;0,705;0,26;0;0,034;0,085
"96";57,709;1,024;0;6,952;0,587;0,139;0,704;0,523;29,815;0,561;1,933;0;0,036;0,018
"97";75,152;0,534;0;0,063;0,191;0,13;0,595;0,276;20,157;2,594;0,286;0,01;0,012;0
"98";48,313;1,349;0;1,544;1,377;0,549;0,978;0,644;42,542;2,003;0,582;0,033;0,04;0,047
"99";84,312;0,884;0;0,409;8,543;0,293;0,469;0,516;0;3,842;0,513;0,018;0,027;0,174
"100";56,55;0,294;0;0,349;2,983;0,409;0,39;0,475;35,789;0,899;0,875;0,008;0,02;0,959
"101";16,394;0,31;0;3,45;0,586;0,108;0,85;0,153;77,3;0,469;0,244;0;0,024;0,113
"102";35,084;13,821;0;0,279;2,037;0,23;0,632;5,145;36,344;4,422;0,78;0,029;1,077;0,12
"103";57,537;0,512;0;0,089;2,642;0,214;1,332;0,562;33,32;2,795;0,555;0,038;0;0,402
"104";35,089;1,869;0;0,544;0,744;1,491;1,095;0,399;54,232;3,63;0,729;0,008;0;0,169
"105";64,267;0,202;0;0,859;0,172;0,065;1,132;0,489;31,314;1,173;0,239;0,034;0,004;0,05
"106";31,609;3,453;0;0,154;1,299;0,2;0,733;2,469;58,023;1,38;0,537;0;0,013;0,129
"107";57,956;0,593;0;0,589;1,641;0,205;2,187;0,266;35,183;0,334;0,837;0,023;0,012;0,173
"108";56,5;0,534;0;0,088;0,333;0,694;0,905;4,616;29,014;0,571;2,578;0,009;3,153;1,005
"109";42,09;0,287;0;0,062;0,201;0,241;0,457;1,906;54,095;0,285;0,271;0;0,049;0,056
"110";42,667;1,305;0;0,74;0,553;1,012;1,643;0,803;48,996;0,416;1,545;0,041;0,222;0,056
"111";57,374;4,877;0;0,086;1,99;0,65;3,632;3,63;18,747;6,972;1,249;0,011;0,033;0,75
"112";42,684;0,43;0;0,095;1,112;0,476;0,361;4,201;49,439;0,626;0,505;0,003;0,025;0,044
"113";52,943;0,571;0;0,1;1,214;0,267;0,685;3,267;39,581;0,957;0,323;0,021;0,015;0,056
"114";36,831;0,432;0;0,039;0,425;0,225;0,313;0,288;59,518;0,65;0,385;0,006;0,015;0,872
"115";62,991;1,598;0;0,163;1,282;0,611;2,153;2,084;24,134;2,715;1,817;0,014;0,082;0,357
"116";30,333;0,737;0;0,108;0,83;0,411;1,115;10,843;54,041;1,179;0,263;0,01;0,024;0,105
"117";25,819;0,339;0;0,059;1,036;0,365;0,714;3,65;65,013;2,536;0,38;0,003;0,009;0,078
"118";5,959;0,439;0;0,036;1,031;5,231;0,385;0,213;85,878;0,51;0,229;0,008;0,007;0,075
"119";87,868;0,2;0;0,074;0,115;0,055;0,183;0,218;10,796;0,14;0,327;0;0,007;0,016
"120";17,525;0,487;0;0,679;4,102;0,815;0,832;0,299;71,357;0,258;0,37;0,021;0,027;3,228
"121";79,724;0,244;0;0,026;0,175;0,071;0,325;0,364;17,527;0,29;1,144;0;0,038;0,071
"122";70,441;1,177;0;0,124;0,43;2,593;1,094;0,664;16,068;2,916;4,18;0,048;0,015;0,25
"123";33,817;0,331;0;0,058;0,974;0,132;1,369;0,837;60,535;0,575;0,919;0,011;0,219;0,222
"124";29,909;0,824;0;0,441;0,269;0,393;0,719;0,266;65,023;1,099;0,832;0,067;0,012;0,145
"125";11,354;0,324;0;0,191;0,255;0,124;0,424;0,156;71,35;14,886;0,896;0,004;0,016;0,02
"126";48,57;1,38;0;0,065;1,35;0,138;3,346;12,316;31,091;1,124;0,563;0,041;0,016;0
"127";31,377;0,478;0;0,093;0,822;0,108;3,309;2,206;60,427;0,391;0,65;0,026;0,024;0,089
"128";24,316;0,312;0;0,726;0,456;4,631;0,475;0,267;61,338;0,918;4,413;0;0,092;2,057
"129";46,736;0,317;0;0,377;1,037;0,863;0,239;4,204;45,563;0,243;0,352;0,005;0,005;0,059
"130";36,859;17,659;0;2,738;0,951;0,171;1,22;0,563;34,124;0,306;5,119;0,004;0,016;0,27
"131";19,362;0,769;0;1,614;0,614;0,458;1,73;0,718;37,677;0,668;36,091;0,02;0,076;0,202
