"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";66,041;5,534;0;0,13;1,106;0;1,459;3,293;17,985;1,678;1,896;0;0,877;0
"2";44,475;35,368;0;0,38;7,952;0;1,501;2,903;0;5,341;1,194;0,039;0,846;0
"3";35,755;19,452;0;0,161;6,002;0;1,977;1,599;24,419;6,881;1,809;0,026;1,919;0
"4";89,902;3,511;0;0,068;0,603;0;0,206;0,074;4,632;0,556;0,303;0,009;0,135;0
"5";12,596;5,184;0;0,37;0,55;0;1,016;3,651;18,475;53,248;4,386;0,007;0,517;0
"6";86,839;1,723;0;0,088;0,596;0;0,225;0,079;0;9,403;0,358;0,004;0,685;0
"7";93,431;2,714;0;0,051;0,516;0;0,207;2,076;0;0,662;0,289;0,006;0,048;0
"8";51,875;35,444;0;0,146;1,964;0;3,636;1,073;0;2,721;2,51;0,011;0,621;0
"9";13,68;6,132;0;0,331;1,007;0;1,416;0,563;25,138;46,863;4,06;0,011;0,799;0
"10";54,405;11,738;0;2,106;9,253;0;6,464;1,197;0;5,416;4,194;0,037;5,191;0
"11";31,521;26,288;0;0,27;0,869;0;1,832;0,647;23,497;3,633;7,665;0,013;3,764;0
"12";58,173;7,236;0;0,151;0,66;0;1,433;0,226;29,648;1,075;1,007;0,007;0,383;0
"13";21,596;9,334;0;55,256;6,16;0;1,065;1,256;0;1,553;2,308;0,049;1,423;0
"14";30,331;4,212;0;2,407;1,815;0;1,109;1,148;34,374;8,403;1,699;9,089;5,414;0
"15";5,389;2,549;0;0,029;46,969;0;0,29;3,447;30,09;10,205;0,623;0,004;0,405;0
"16";48,733;3,492;0;0,742;3,744;0;0,875;0,593;32,096;2,681;0,949;0,147;5,949;0
"17";38,104;53,978;0;0,051;5,896;0;0,217;0,404;0;0,875;0,315;0,01;0,149;0
"18";22,704;61,141;0;0,803;0,589;0;1,469;6,345;0;2,365;3,47;0,014;1,1;0
"19";99,589;0,087;0;0,013;0,013;0;0,017;0,009;0;0,033;0,233;0;0,006;0
"20";74,384;1,964;0;0,13;1,009;0;0,628;0,407;15,535;2,965;2,563;0,062;0,355;0
"21";40,552;6,778;0;0,761;2,76;0;2,071;1,452;32,113;10,918;1,511;0,044;1,04;0
"22";12,483;11,273;0;0,453;2,709;0;2,334;9,042;0;56,98;4,245;0,013;0,468;0
