"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";10,659;7,046;0,027;0,181;3,195;0,154;1,057;2,043;0;72,794;2,816;0;0,027;0
"2";15,851;23,084;0,195;0,078;5,511;0,761;1,127;2,87;0;47,857;2,146;0;0,521;0
"3";24,81;19,916;0,103;0,425;5,305;1,472;0,293;3,281;36,2;5,027;2,671;0;0,495;0
"4";37,764;31,001;0,229;0;5,026;1,627;1,991;9,582;0;7,567;4,624;0;0,59;0
"5";40,902;19,977;0,268;0,363;5,358;2,135;0,803;26,131;0;2,664;1,324;0;0,075;0
"6";12,816;12,081;0,164;0,556;1,233;0,496;0,457;3,286;42,283;24,541;1,915;0;0,171;0
"7";37,136;10,456;0,899;0,718;2,98;0,229;1,087;4,446;38,289;2,677;0,957;0;0,126;0
"8";11,368;20,817;0,169;0,061;6,259;0,255;1,003;17,463;36,326;4,279;0,936;0;1,063;0
"9";8,774;35,88;1,05;1,304;3,482;0,451;0,739;4,44;32,169;10,817;0,673;0;0,22;0
"10";72,028;2,446;0,075;0,04;10,569;0,121;1,394;0,699;9,339;2,75;0,478;0;0,061;0
"11";20,766;10,014;0,108;0,687;3,241;0,532;0,941;16,103;41,77;2,983;2,781;0;0,074;0
"12";71,273;11,758;0,366;0,427;2,166;0,49;1,232;2,495;0;8,495;1,221;0;0,077;0
"13";7,504;4,705;0,01;0,026;3,806;0,071;0,181;1,588;0;81,531;0,566;0;0,011;0
"14";30,369;13,33;0,078;0,227;2,939;0,186;0,951;7,652;36,832;5,723;1,507;0;0,206;0
"15";8,705;8,049;0,025;0,097;21,493;0,103;15,345;2,968;40,281;1,841;1,036;0;0,058;0
"16";5,804;3,555;0,013;0;0,909;0,061;0,441;40,873;44,74;1,027;1,689;0;0,889;0
"17";17,061;8,264;0,031;0,028;1,208;0,285;0,344;3,841;63,607;3,392;1,625;0;0,313;0
"18";8,831;37,645;0,061;0,085;2,672;0,05;0,616;4,632;28,228;6,661;10,393;0;0,124;0
"19";13,786;60,633;0,048;0,303;3,064;3,931;0,682;10,57;0;3,125;3,505;0;0,353;0
"20";81,038;2,948;0,078;0,046;1,011;0,057;0,07;9,857;0;1,998;2,753;0;0,144;0
"21";80,922;1,995;0,016;0,072;0,897;0,104;0,126;0,707;8,592;5,742;0,818;0;0,009;0
"22";8,398;11,143;0,058;0,052;14,931;0,615;0,327;1,246;48,248;13,518;1,173;0;0,292;0
"23";4,76;47,309;0,031;0;1,287;1,496;0,412;10,705;20,409;1,32;6,967;0;5,304;0
"24";15,878;13,818;0,155;0,169;1,822;0,08;0,335;17,437;16,289;32,872;0,717;0;0,429;0
"25";10,679;15,084;0;0;5,299;0,217;1,021;3,182;42,542;7,024;14,78;0;0,171;0
"26";89,981;0,367;0,022;0;0,064;0,115;0,047;0,161;1,289;3,751;4,202;0;0,003;0
"27";18,604;8,829;0,091;0,153;2,46;0,205;0,267;12,646;50,419;5,722;0,353;0;0,252;0
"28";51,303;9,946;0,014;0,029;0,878;0,364;0,231;2,513;31,595;2,709;0,388;0;0,03;0
"29";33,183;22,75;0,945;0,38;26,629;0,647;1,104;6,476;0;3,739;3,165;0;0,981;0
"30";23,934;19,924;0,036;0,188;8,284;0,289;0,686;2,967;28,315;14,705;0,457;0;0,215;0
"31";43,515;13,543;0,071;0,075;1,936;0,103;0,424;37,654;0;2,148;0,457;0;0,074;0
"32";43,524;52,983;0,025;0;0,829;0,07;0,111;0,901;0;1,048;0,314;0;0,194;0
"33";10,32;11,351;0,041;0,051;1,564;0,135;0,464;11,386;51,534;6,298;6,678;0;0,178;0
"34";88,819;5,77;0;0,02;0,636;1,116;0,055;1,3;0;2,164;0,104;0;0,015;0
"35";46,948;33,305;0,181;0,59;4,372;0,338;0,531;8,015;0;4,856;0,702;0;0,16;0
"36";7,095;9,355;0,586;0,328;2,249;0,121;0,248;3,777;53,499;22,075;0,666;0;0;0
"37";24,872;51,715;0,18;0,274;3,887;0,279;0,437;1,179;13,423;3,132;0,577;0;0,046;0
"38";48,249;44,986;0,027;0,058;0,776;0,051;0,083;5,225;0;0,235;0,229;0;0,081;0
"39";43,488;7,592;0,133;0;2,019;0,213;1,272;4,12;32,274;7,814;0,706;0;0,368;0
"40";43,442;6,642;0,055;0,123;0,833;0,208;0,712;3,595;39,041;3,92;0,906;0;0,523;0
"41";10,277;19,384;0,08;0,1;17,3;0,059;0,296;3,904;42,037;1,422;3,844;0;1,296;0
"42";22,609;33,269;0,034;0;1,858;0,145;1;9,853;27,912;1,664;1,308;0;0,349;0
"43";75,847;14,422;0,691;0;1,516;0,547;0,764;2,992;0;1,677;1,379;0;0,165;0
"44";16,952;10,932;0,345;0,031;23,892;0,336;10,721;1,983;30,372;3,012;1,279;0;0,146;0
"45";17,047;13,695;0,064;0,204;0,812;0,235;0,731;1,947;55,208;9,159;0,84;0;0,06;0
"46";21,969;27,012;0,103;0;4,911;0,215;1,627;5,879;31,984;4,366;1,608;0;0,326;0
"47";12,95;9,681;0,082;0,455;1,699;0,351;0,363;3,994;56,85;12,484;0,977;0;0,114;0
"48";12,218;69,993;0,304;0,175;6,871;0,717;0,215;6,126;0;1,594;1,689;0;0,098;0
"49";43,381;15,186;0,583;10,209;16,288;0,299;0;4,667;0;6,958;1,638;0;0,791;0
"50";13,858;19,25;0,592;0,134;1,172;0,05;0,508;11,838;11,616;38,824;1,899;0;0,26;0
"51";53,42;10,66;0,216;0,106;2,402;0,078;1,032;10,25;18,797;1,373;1,077;0;0,589;0
"52";20,006;12,42;0,09;0,679;2,207;0,356;0,326;17,299;21,254;24,431;0,884;0;0,049;0
"53";12,819;27,499;0,04;0,177;1,253;0,168;0,521;16,884;26,947;12,267;1,063;0;0,362;0
"54";45,19;7,106;0,2;0,087;1,75;0,337;0,52;1,052;28,481;12,497;2,084;0;0,695;0
"55";19,696;54,494;0,157;0,585;3,373;0,101;0,675;12,665;0;7,356;0,783;0;0,115;0
"56";20,087;45,867;0,159;0;9,291;0,217;1,264;17,303;0;3,057;2,643;0;0,112;0
"57";47,434;3,585;0,023;0,124;1,756;0,047;0,575;14,858;22,002;1,155;8,318;0;0,123;0
"58";14,629;10,199;0,034;0;1,475;0,197;0,385;6,741;59,932;1,604;4,262;0;0,542;0
"59";27,963;13,827;0,045;0,16;0,895;0,37;0,706;4,445;41,219;4,367;0,767;0;5,236;0
"60";21,061;24,354;0,063;0,095;5,146;0,178;1,297;9,734;33,493;2,426;1,699;0;0,453;0
"61";51,695;7,815;0;0,018;1,278;0,939;0,305;1,172;0;12,049;24,294;0;0,434;0
"62";9,518;7,647;0,037;0,083;1,387;0,126;0,729;6,392;58,777;4,021;10,947;0;0,337;0
"63";53,19;11,894;0,122;0,139;2,479;1,733;1,241;2,944;0;25,291;0,904;0;0,063;0
"64";35,277;11,831;0,201;0;3,223;0,156;1,017;1,199;0;46,59;0,305;0;0,2;0
"65";34,601;6,663;0,043;0,085;0,886;0,685;1,434;3,883;48,152;2,979;0,542;0;0,047;0
"66";6,578;8,937;5,283;0,097;1,895;0,167;0,702;7,612;64,37;2,404;1,852;0;0,104;0
"67";73,876;8,419;0,15;0,022;3,396;0,137;0,458;9,827;0;2,61;1,011;0;0,094;0
"68";7,06;5,841;0;0,034;1,502;45,315;0,259;7,498;31,72;0,529;0,219;0;0,025;0
"69";9,689;12,855;0,036;0,036;0,69;0,103;1,469;2,662;26,799;44,268;1,136;0;0,258;0
"70";23,32;8,186;1,262;0,065;1,123;2,061;0,888;5,247;53,826;2,506;0,568;0;0,948;0
"71";48,653;21,431;0,097;0,289;5,278;0,216;0,755;13,495;0;4,923;4,381;0;0,482;0
"72";7,271;2,778;0,12;0,071;1,859;0,151;0,147;1,617;0;0,899;85,073;0;0,014;0
"73";41,577;6,241;0,713;0,626;7,665;7,087;0,783;1,908;20,671;11,385;1,125;0;0,218;0
"74";16,866;49,461;0,07;0,174;6,174;0,401;1,239;4,305;0;15,35;2,671;0;3,288;0
"75";83,204;4,276;0,556;0;0,955;0,066;0,109;2,178;7,953;0,475;0,139;0;0,087;0
"76";40,69;11,896;0,512;0,097;17,576;0,93;0,401;7,733;0;5,529;14,294;0;0,343;0
"77";66,171;4,616;0,037;0,31;0,822;0,602;0,142;23,906;0;2,317;0,808;0;0,269;0
"78";13,7;7,809;0,393;0,114;6,104;0,122;1,46;2,615;50,411;16,585;0,601;0;0,086;0
"79";10,462;21,973;0,041;0;4,073;0,98;0,642;8,774;46,047;3,088;3,736;0;0,184;0
"80";23,454;10,458;0,028;0;3,651;0,568;1,362;9,256;41,827;2,912;6,056;0;0,427;0
"81";16,062;48,061;0,19;0,24;10,275;1,641;1,395;7,538;0;9,115;5,339;0;0,145;0
"82";18,451;20,333;0,314;0;1,265;0,498;1,475;12,632;38,561;5,732;0,663;0;0,076;0
"83";44,262;3,99;0,03;0,031;1,303;0,235;0,2;1,176;42,418;6,098;0,198;0;0,061;0
"84";84,354;5,638;0,028;0,174;3,72;0,179;0,356;0,667;0;3,525;1,119;0;0,241;0
"85";11,105;21,957;1,908;0,53;2,813;1,179;2,11;5,594;41,294;6,099;2,347;0;3,064;0
"86";7,144;48,407;0,029;0,089;11,701;0,731;0,951;2,09;0;1,613;27,186;0;0,059;0
"87";9,485;19,298;0,175;0,066;1,114;0,097;0,914;1,632;18,976;44,721;3,314;0;0,209;0
"88";19,234;18,488;1,534;0,055;1,835;0,169;0,436;2,909;47,163;4,303;1,647;0;2,226;0
"89";17,946;25,162;0,211;0,81;6,114;0,248;0,732;6,954;34,796;5,992;0,834;0;0,202;0
"90";52,985;9,925;0,062;0,116;0,617;0,168;0,147;3,793;29,141;2,511;0,463;0;0,073;0
"91";22,036;14,755;0,541;0;3,246;0,827;0,59;3,921;38,559;3,724;11,598;0;0,204;0
"92";11,173;38,911;0,118;0,243;5,012;0,656;0,384;3,468;30,837;7,86;1,129;0;0,21;0
"93";5,983;6,644;0,094;0,389;0,725;0,127;1,024;1,233;77,666;4,99;1,03;0;0,097;0
"94";12,236;20,348;0,147;0,264;28,433;0,396;2,755;15,631;0;16,978;2,574;0;0,238;0
"95";21,026;12,501;0,019;0,253;0,594;0,094;0,417;1,149;36,392;6,245;18,585;0;2,726;0
"96";6,479;10,504;0,051;0,104;5,429;0,16;1,558;2,672;67,66;2,081;3,191;0;0,111;0
"97";9,287;67,899;0,207;0;1,032;0,08;0,282;4,594;12,079;4,123;0,367;0;0,049;0
"98";14,271;13,653;2,474;0,119;6,448;0,204;0,365;7,185;40,503;14,061;0,586;0;0,13;0
"99";16,653;31,993;0,027;0,746;13,03;5,553;0,106;3,583;25,281;2,47;0,479;0;0,08;0
"100";19,206;45,058;0,059;20,305;1,041;0,621;0,767;2,616;0;6,945;3,322;0;0,061;0
"101";19,506;19,049;0,167;0,294;2,191;0,078;0,462;6,445;47,896;2,243;1,576;0;0,093;0
"102";70,905;9,259;0,028;0,029;4,238;0,19;0,309;2,459;0;11,874;0,523;0;0,187;0
"103";9,734;16,233;0,084;0,601;3,623;0,139;0,92;16,243;26,97;23,987;1,197;0;0,269;0
"104";42,898;5,172;0,031;30,111;5,414;0,099;0,643;10,827;0;2,21;2,501;0;0,094;0
"105";16,485;6,657;0,042;0,123;1,22;0,312;0,06;7,249;29,4;35,771;2,504;0;0,175;0
