"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";2,364;0,234;0,022;80,808;0,164;0,058;0,207;0,862;13,903;1,091;0,251;0,002;0,033;0
"2";29,644;1,56;0,122;6,167;0,729;0,273;1,203;1,433;55,041;2,819;0,892;0,046;0,07;0
"3";22,252;3,416;0,071;1,287;0,303;0,187;1,257;12,152;55,931;2,76;0,383;0;0;0
"4";16,456;2,552;0,175;20,933;0,819;1,566;2,412;4,305;42,751;5,284;2,198;0,026;0,523;0
"5";9,403;3,101;0,271;21,882;0,703;0,76;1,707;5,895;38,336;8,212;9,654;0,074;0;0
"6";4,929;6,933;0,436;45,053;0,167;0,146;0,969;3,432;16,612;20,447;0,7;0;0,176;0
"7";40,528;0,644;0,027;18,723;0,131;0,218;2,577;1,387;33,907;1,11;0,701;0,011;0,035;0
"8";17,199;2,311;0,881;5,281;1,889;1,043;6,829;8,505;41,405;11,975;2,498;0,06;0,124;0
"9";6,549;2,365;0,021;0,883;0,12;0,091;0,986;0,719;86,83;1,088;0,326;0,018;0,005;0
"10";8,524;1,346;0,056;1,51;0,304;0,156;0,603;1,209;83,485;2,281;0,519;0,008;0;0
"11";41,322;1,649;0,081;2,513;0,322;0,557;1,352;4,869;41,205;5,155;0,766;0,21;0;0
"12";4,057;1,382;0,208;3,343;4,342;0,906;1,499;2,034;75,229;1,482;5,456;0,015;0,047;0
"13";7,187;1,086;0,15;1,24;0,346;0,22;2,976;2,782;76,302;7,229;0,435;0,014;0,032;0
"14";14,64;1,907;0,497;0,734;15,954;0,315;0,523;0,337;61,408;3,03;0,57;0,049;0,036;0
"15";38,743;15,191;0,358;2,301;1,92;0,366;1,141;1,624;34,128;3,507;0,665;0,013;0,044;0
"16";49,198;4,827;0,435;6,13;3,128;1,075;7,468;8,554;0;15,443;3,275;0;0,467;0
"17";4,651;0,591;1,492;30,377;0,108;0,055;0,699;1,097;38,982;8,075;13,85;0,012;0,01;0
"18";11,96;1,365;19,243;0,696;0,199;0,888;1,469;0,645;59,892;3,258;0,366;0,019;0;0
"19";46,45;2,299;0,466;1,773;1,255;0,333;1,731;1,665;35,622;6,277;2,06;0,007;0,063;0
"20";11,218;3,932;0,108;0,74;0,078;0,07;2,145;0,537;78,999;1,823;0,313;0,012;0,024;0
"21";14,58;0,686;0,837;2,586;0,153;0,393;0,652;0,851;69,866;7,699;1,565;0,014;0,118;0
"22";40,466;2,252;0,102;0,748;0,169;0,137;4,54;1,645;32,888;16,562;0,382;0,014;0,097;0
"23";5,165;1,234;0,063;1,455;0,809;0,159;1,382;2,227;84,468;1,565;1,454;0,012;0,006;0
"24";21,392;3,795;0,332;0,875;0,354;0,31;1,267;8,009;36,653;26,51;0,443;0,043;0,016;0
"25";35,147;0,424;0,064;0,785;1,73;1,272;1,191;0,928;48,862;9,226;0,318;0,033;0,021;0
"26";13,331;0,642;0,092;4,878;0,493;0,238;1,211;18,384;39,478;20,262;0,694;0,265;0,033;0
