"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";15,673;3,032;2,123;0;0,891;0,544;7,478;44,679;0;14,402;11,177;0;0;0
"2";0,254;0,044;0,666;0;0,082;0,34;0,634;21,357;70,037;6,035;0,55;0;0;0
"3";2,073;0,3;0,252;0;0,197;0,77;0,391;10,251;66,085;14,643;5,038;0;0;0
"4";1,684;0,185;0,123;0;0;0,074;3,442;33,307;57,87;2,803;0,512;0;0;0
"5";19,878;1,234;38,259;0;0,111;0,465;4,885;11,843;0;13,203;10,123;0;0;0
"6";1,998;0,053;0,109;0;0,046;0,369;0,193;8,064;86,708;1,719;0,742;0;0;0
"7";3,242;0,207;4,486;0;0,151;72,96;0,285;15,67;0;1,527;1,472;0;0;0
"8";7,006;0,579;7,705;0;0,231;0,168;2,239;5,855;0;69,192;7,026;0;0;0
"9";45,856;0,339;0,195;0;0,173;0,51;2,603;4,004;0;44,281;2,039;0;0;0
"10";12,065;8,924;3,188;0;0,191;2,601;6,678;41,345;0;10,491;14,517;0;0;0
"11";79,024;5,057;0,822;0;0,102;0,094;1,889;4,005;0;7,794;1,214;0;0;0
"12";6,542;0,325;4,338;0;0,104;0,606;1,264;79,666;0;4,374;2,782;0;0;0
"13";1,372;0,264;0,793;0;0,108;0,214;0,292;91,183;0;4,745;1,029;0;0;0
"14";7,043;0,254;0,509;0;0;0,141;0,755;13,126;74,046;3,658;0,468;0;0;0
"15";1,314;0,078;0,253;0;0,084;0,077;0,234;9,724;49,877;36,204;2,155;0;0;0
"16";3,298;0,171;0,478;0;0,076;0,173;0,198;40,764;52,672;1,287;0,884;0;0;0
"17";49,437;0,135;0,261;0;0,508;0,159;1,214;16,349;28,36;2,869;0,707;0;0;0
"18";1,129;0,108;2,328;0;0,049;0,483;0,203;4,773;88,107;2,071;0,749;0;0;0
"19";1,371;0,086;0,402;0;0,255;0,144;0,847;13,709;79,497;1,971;1,717;0;0;0
"20";3,432;0,151;3,802;0;0,041;0,319;0,759;17,984;70,692;1,353;1,466;0;0;0
"21";10,813;0,077;0,244;0;0,039;1,165;1,018;7,869;68,911;9,052;0,813;0;0;0
"22";0,403;0;1,63;0;0,042;0,117;1,144;12,18;71,735;11,72;1,029;0;0;0
"23";0;0;0,523;0;0,071;0,317;2,505;14,357;70,58;3,864;7,783;0;0;0
"24";15,933;0,21;0,256;0;0,661;0,231;0,516;32,165;44,987;3,609;1,431;0;0;0
"25";46,292;0,189;0,375;0;0,076;0,22;0,193;9,106;36,142;5,567;1,839;0;0;0
"26";41,494;3,742;1,154;0;0,24;1,076;4,391;21,978;0;20,056;5,869;0;0;0
"27";16,032;0,02;0,114;0;0,019;0,017;0,28;82,66;0;0,723;0,136;0;0;0
"28";4,129;0,758;1,111;0;0;15,581;2,675;24,688;0;48,353;2,704;0;0;0
"29";3,806;0,106;39,205;0;0,025;0,023;0,345;3,715;31,795;20,57;0,409;0;0;0
"30";35,454;1,218;3,635;0;0;0,447;2,62;32,577;0;19,007;5,043;0;0;0
"31";17,766;0,956;0,725;0;0,474;0,508;14,291;23,531;0;34,16;7,591;0;0;0
"32";7,451;0,587;0,573;0;0,1;0,747;0;27,33;0;51,107;12,105;0;0;0
"33";3,123;0,453;1,452;0;3,022;0,323;1,28;19,095;0;68,462;2,79;0;0;0
"34";4,505;0;0,679;0;0,042;0,177;0,642;12,244;73,44;6,527;1,744;0;0;0
"35";6,019;0,177;0,373;0;0,02;0,438;2,489;7,274;66,852;14,903;1,454;0;0;0
"36";4,502;0,455;0,265;0;0,129;0,225;1,723;4,278;37,004;49,95;1,469;0;0;0
"37";9,046;0,248;2,061;0;1,02;0,3;6,226;13,935;0;62,52;4,644;0;0;0
"38";15,335;0,978;1,177;0;0,079;0,37;3,752;58,477;0;13,544;6,289;0;0;0
"39";0,873;2,386;0,357;0;0,177;0,691;1,349;2,638;86,766;3,123;1,641;0;0;0
"40";2,496;0,729;0,696;0;0,095;0,135;59,342;17,508;0;5,881;13,118;0;0;0
"41";9,849;0,619;2,323;0;0,044;0,521;1,773;26,019;0;3,325;55,527;0;0;0
"42";23,302;1,874;0,535;0;0,092;0,04;0,322;3,635;63,645;4,769;1,786;0;0;0
"43";46,934;0,29;2,003;0;1,236;0,376;3,792;13,766;0;29,221;2,383;0;0;0
"44";19,275;0;25,145;0;0,294;0,182;0,167;9,763;37,004;5,255;2,914;0;0;0
"45";5,96;0,465;5,751;0;0;12,447;1,05;65,219;0;5,382;3,726;0;0;0
"46";27,371;1,73;20,973;0;0;0,354;3,116;20,743;0;20,354;5,359;0;0;0
"47";0,566;0;0,131;0;0,07;0,114;0,239;3,434;71,737;14,262;9,446;0;0;0
"48";5,177;0,044;0,191;0;0,105;0,681;0,165;47,771;42,66;2,438;0,767;0;0;0
"49";0,415;0,13;0,052;0;0,011;0,026;0,069;98,8;0;0,326;0,171;0;0;0
"50";0,957;0,232;1,772;0;0,449;0,092;1,524;86,425;0;6,262;2,287;0;0;0
"51";0,787;0,031;0,086;0;0,137;0,047;0,422;10,533;73,418;13,028;1,511;0;0;0
"52";11,063;5,448;1,24;0;0,739;1;2,537;32,94;0;39,806;5,226;0;0;0
"53";3,045;0,161;0,187;0;0,079;2,606;0;3,54;83,037;4,976;2,369;0;0;0
"54";2,254;0,188;3,034;0;0,416;0,862;11,518;59,059;0;18,441;4,229;0;0;0
"55";39,014;2,042;1,657;0;3,896;3,18;0,883;26,323;0;15,827;7,178;0;0;0
"56";0;0,414;0,105;0;0,036;0,061;0,296;2,792;90,067;5,588;0,641;0;0;0
"57";3,486;0,135;0,098;0;0,035;0,167;0,138;1,764;77,896;15,542;0,738;0;0;0
"58";2,192;0,328;11,639;0;0;0,737;1,819;59,705;0;22,352;1,227;0;0;0
"59";5,162;0,331;4,7;0;0,149;0,079;1,727;7,949;65,444;12,553;1,908;0;0;0
"60";17,627;0,559;0,318;0;0,103;0,24;1,251;25,78;50,291;1,296;2,533;0;0;0
"61";3,12;0,111;0,185;0;0,026;0,278;0,333;12,638;78,581;3,078;1,651;0;0;0
"62";16,091;0,27;6,01;0;0,277;0,514;0,998;62,281;0;9,673;3,887;0;0;0
"63";0,835;0,08;0,528;0;0,02;0,324;0,605;6,589;88,468;1,996;0,554;0;0;0
"64";9,695;1,832;0,191;0;0,04;0,225;0,553;38,618;0;3,812;45,034;0;0;0
"65";2,851;0,549;0,184;0;0,115;0,615;0,947;3,745;86,603;2,173;2,218;0;0;0
"66";0,387;0,033;0,462;0;0,137;0,152;1,083;3,652;91,406;2,23;0,458;0;0;0
"67";6,398;0,09;0,258;0;0,718;0,027;0,93;1,34;88,253;1,245;0,742;0;0;0
"68";1,044;0;1,124;0;0,066;0,063;1,092;5,706;75,253;13,761;1,891;0;0;0
"69";54,43;3,976;0,308;0;0;0,656;8,941;18,316;0;10,283;3,091;0;0;0
"70";4,946;0,304;5,651;0;0,031;0,373;3,019;16,301;0;66,134;3,241;0;0;0
"71";6,065;0,248;1,328;0;0;0,6;1,754;14,034;68,179;6,834;0,957;0;0;0
"72";3,74;0,067;1,032;0;0,024;0,307;3,759;8,48;60,435;5,076;17,08;0;0;0
"73";5,715;0,086;0,244;0;0,387;0,186;0,971;5,721;78,019;7,148;1,522;0;0;0
"74";0,949;0,046;0,339;0;0,045;0,153;0,352;2,153;94,485;0,865;0,613;0;0;0
"75";4,15;0,292;0,203;0;1,339;0,069;0,281;1,551;23,615;67,745;0,755;0;0;0
"76";33,478;0,48;1,025;0;0,151;0;2,029;32,639;0;20,454;9,745;0;0;0
"77";5,553;0,256;0,365;0;0,162;0,119;0,724;6,586;76,458;7,681;2,097;0;0;0
"78";0;0,353;0,326;0;0,139;0,971;0,134;8,051;69,079;18,542;2,405;0;0;0
"79";20,949;1,091;7,685;0;0,251;0,29;3,476;17,053;0;46,154;3,053;0;0;0
"80";42,082;0,183;1,436;0;0,152;4,951;13,105;17,234;0;10,802;10,054;0;0;0
"81";2,471;0,409;0,339;0;0,207;0,308;0,939;9,469;79,217;4,814;1,827;0;0;0
"82";1,506;1,211;0,394;0;0,083;0,197;0;5,628;75,59;12,42;2,971;0;0;0
"83";0,857;0,272;0,157;0;0,017;0,12;0,233;20,874;70,391;5,978;1,1;0;0;0
"84";3,946;0;1,126;0;0,07;0,111;0,911;5,526;55,417;31,497;1,395;0;0;0
"85";62,042;0,073;0,259;0;0,026;0,112;0,338;33,102;0;3,08;0,968;0;0;0
"86";12,463;0;2,114;0;0,686;15,336;4,016;36,482;0;24,726;4,177;0;0;0
"87";6,328;0,918;0,504;0;0,073;0,18;0,189;32,469;47,33;10,235;1,775;0;0;0
"88";0,231;0,022;0,648;0;0,012;0,019;0,086;87,948;10,51;0,313;0,211;0;0;0
"89";3,244;0,672;1,322;0;0,087;0,526;0,573;18,951;50,1;21,515;3,01;0;0;0
"90";0,18;0,927;5,624;0;0,097;0,104;0,234;17,736;70,975;3,533;0,591;0;0;0
"91";1,735;0,177;0,48;0;0,01;0,11;0,333;5,327;89,29;1,789;0,749;0;0;0
"92";23,737;3,216;11;0;0,092;20,814;5,399;17,101;0;13,473;5,168;0;0;0
"93";0;0,051;0,836;0;0;0,431;0,342;4,555;89,545;2,101;2,138;0;0;0
"94";20,825;1,098;2,177;0;0,233;0,784;2,424;28,375;0;24,094;19,991;0;0;0
"95";46,852;0;0,975;0;0,106;2,06;1,894;21,986;0;13,328;12,8;0;0;0
"96";52,489;0;0,339;0;0,179;0,049;28,456;3,273;0;2,579;12,638;0;0;0
"97";6,805;0,123;0,765;0;0,123;0,114;0;5,917;77,116;4,303;4,735;0;0;0
"98";15,429;2,981;1,642;0;1,486;3,497;1,451;46,296;0;21,501;5,718;0;0;0
"99";5,623;0;0,507;0;0,153;0,431;0;74,304;0;13,609;5,374;0;0;0
"100";1,79;0;0,095;0;0;0,068;0,07;25,655;60,483;11,525;0,314;0;0;0
"101";1,038;0,244;5,294;0;0,038;0,038;0,838;6,587;60,743;7,316;17,864;0;0;0
"102";3,817;0;23,189;0;0;0,102;1,736;42,943;0;21,635;6,579;0;0;0
"103";46,811;0,09;6,105;0;0,064;0,196;0,445;3,018;34,351;3,711;5,208;0;0;0
"104";1,739;0,41;0,641;0;0,013;0,277;0,238;7,537;73,402;14,299;1,444;0;0;0
"105";12,469;0,991;0,246;0;0,027;0,051;0,234;43,976;0;41,112;0,893;0;0;0
"106";0,875;0,057;0,274;0;0,025;0,075;1,209;2,487;85,129;9,67;0,199;0;0;0
"107";7,65;0,124;0,325;0;0,138;0,197;0,503;5,665;73,175;11,577;0,646;0;0;0
"108";6,603;0,198;0,22;0;0,154;84,4;0,739;2,694;0;4,081;0,911;0;0;0
"109";2,892;1,007;0,316;0;0,11;0,161;0,39;3,745;50,387;40,389;0,603;0;0;0
"110";0,232;0,02;0,071;0;0;0,01;0,045;1,502;10,356;87,689;0,076;0;0;0
"111";12,202;0,9;18,018;0;0,055;0,578;3,275;16,714;0;33,174;15,084;0;0;0
"112";2,235;0,234;19,512;0;0,381;0,535;0,582;63,854;0;8,024;4,644;0;0;0
"113";0,173;0;0,079;0;0,007;0,209;0,155;37,796;58,922;1,682;0,977;0;0;0
"114";1,637;0,11;0,305;0;0,038;0,087;0,418;2,299;82,278;12,121;0,706;0;0;0
"115";0,5;0,289;0,193;0;0,076;0,039;2,24;2,05;0;93,685;0,927;0;0;0
"116";17,119;1,686;0,966;0;0;0,083;0;6,566;62,985;5,883;4,712;0;0;0
"117";1,892;0,753;0,77;0;0,064;0,753;0;4,925;75,741;6,622;8,481;0;0;0
"118";1,611;0,716;0,165;0;0,139;0,759;1,082;7,852;80,405;5,335;1,936;0;0;0
"119";50,121;0,191;2,616;0;13,819;1,437;4,517;7,655;0;16,548;3,096;0;0;0
"120";0;0,946;0,334;0;0,024;0,544;0,144;3,236;89,931;3,123;1,718;0;0;0
"121";3,918;1,252;4,238;0;0,233;0,174;0,995;28,652;55,436;2,683;2,419;0;0;0
"122";39,078;0,172;0,085;0;0,054;0,075;0,576;2,471;53,432;1,096;2,96;0;0;0
"123";4,171;0,339;5,421;0;0,5;6,633;1,537;76,659;0;2,284;2,456;0;0;0
