"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";2,953;2,824;0,011;0,292;0,303;0,255;0,906;1,905;82,698;4,965;2,73;0;0,159;0
"2";3,629;1,124;0;0,776;0,332;0,656;4,358;2,543;60,957;24,258;1,317;0;0,051;0
"3";2,834;1,037;0;0,056;0,095;0,573;1,562;2,366;87,999;1,845;1,348;0;0,286;0
"4";2,87;1,096;0,037;0,257;1,773;0,784;0,953;1,837;77,334;10,906;1,951;0;0,203;0
"5";0,735;4,571;0;0,152;0,026;1,31;0,321;3,674;86,561;2,302;0,343;0;0,004;0
"6";3,494;2,638;0,018;0,216;0,162;0,65;1,926;6,895;79,446;3,435;1,038;0;0,08;0
"7";31,069;0,553;0;0,194;0,154;0,555;1,081;1,32;56,583;7,941;0,424;0;0,127;0
"8";4,172;4,648;0,009;0,082;0,195;3,937;1,563;2,639;72,005;9,414;1,131;0;0,205;0
"9";3,981;0,745;0,007;0,091;0,071;0,049;1,494;1,402;81,113;7,65;3,352;0;0,045;0
"10";6,804;11,111;0;0,724;1,972;1,253;6,999;12,048;46,92;8,732;3,2;0;0,237;0
"11";6,92;1,433;0;0;0,197;13,046;1,781;4,58;69,117;1,83;1,015;0;0,08;0
"12";1,618;3,82;0,035;0,161;0,143;0,906;1,398;46,094;42,01;2,48;1,239;0;0,096;0
"13";9,005;2,811;0,06;0,033;0,746;0,533;2,49;3,705;56,902;22,195;1,368;0;0,153;0
"14";17,984;1,093;0,021;0,051;0,117;0,204;0,551;43,292;32,626;1,354;2,457;0;0,248;0
"15";6,035;1,45;0,019;0,12;0,273;0,229;1,519;1,722;84,531;3,186;0,882;0;0,034;0
"16";5,169;1,257;0,016;0,19;0,058;0,292;0,55;4,064;85,494;1,797;0,898;0;0,214;0
"17";3,018;3,687;0,026;0,786;0,355;0,865;5,865;16,689;52,591;10,805;4,82;0;0,493;0
"18";7,568;2,3;0;0,122;0,314;0,427;1,116;4,175;80,296;2,336;1,151;0;0,195;0
"19";4,202;2,422;0,043;1,165;0,428;0,358;0,631;5,467;81,771;2,346;1,132;0;0,035;0
"20";7,568;0,886;0,008;0,331;0,155;0,414;1,883;1,994;82,005;3,285;1,425;0;0,046;0
"21";3,593;0,854;0;0,243;0,183;0,169;2,441;1,366;83,661;6,683;0,601;0;0,207;0
"22";3,023;10,156;0;0,147;0,131;1,208;1,234;1,739;78,623;1,841;1,758;0;0,138;0
"23";20,184;1,379;0;0,138;1,017;0,212;2,592;2,404;47,633;9,858;14,537;0;0,047;0
"24";13,881;4,357;0,029;0,046;0,392;0,205;1,786;46,966;12,525;10,976;8,806;0;0,029;0
"25";3,603;1,412;0,031;0,168;0,151;0,702;1,632;23,45;62,675;5,174;0,855;0;0,148;0
"26";2,557;2,052;0,026;0;2,254;2,665;1,117;2,937;76,527;4,027;5,747;0;0,092;0
"27";7,025;4,72;0;0,041;0,126;1,141;2,194;3,844;75,392;3,079;1,254;0;1,184;0
"28";1,935;10,667;0;0,542;0,157;1,179;1,377;4,087;77,4;1,255;1,311;0;0,09;0
"29";2,945;1,067;0;0,892;0,335;0,428;1,78;1,029;86,556;3,562;1,313;0;0,091;0
"30";2,03;7,121;0,008;0,04;0,086;0,046;0,921;2,966;82,618;3,633;0,509;0;0,022;0
"31";17,406;0,674;0,043;0,351;0,069;0,254;0,952;3,33;73,499;1,594;1,649;0;0,177;0
"32";2,716;5,096;0;0,088;0,266;0,442;1,465;5,192;82,684;1,017;0,643;0;0,389;0
"33";5,687;2,107;0,494;0,26;10,635;0,938;7,805;18,554;25,241;26,716;1,141;0;0,422;0
"34";5,138;1,388;0;0;0,553;2,336;3,813;3,798;68,615;3,463;10,848;0;0,048;0
"35";2,449;0,7;0;0,581;0,111;0,203;0,587;2,041;91,348;1,159;0,777;0;0,045;0
"36";4,835;0,526;0;0,143;0,143;0,736;1,52;1,048;89,844;0,847;0,301;0;0,055;0
"37";10,078;11,238;0,082;0,051;0,766;0,277;1,294;5,228;67,356;1,671;1,841;0;0,12;0
"38";12,966;1,547;0;0,035;0,539;2,451;0,924;24,631;43,643;10,079;2,861;0;0,324;0
"39";2,768;0,836;0,077;0,046;0,198;0,834;4,13;4,686;77,423;7,539;1,354;0;0,109;0
"40";5,345;1,154;0,134;0,052;0,3;0,241;2,703;2,077;84,72;2,797;0,442;0;0,033;0
"41";3,114;1,924;0;0,168;0,515;0,702;1,402;2,424;88,073;1,09;0,53;0;0,059;0
"42";5,272;1,112;0;0,065;0,296;0,415;1,988;8,02;75,667;5,165;1,975;0;0,025;0
"43";11,471;1,505;0,009;0,077;0,07;1,174;1,157;12,718;48,838;21,521;1,368;0;0,093;0
"44";3,15;0,628;0,014;6,446;0,255;0,796;1,683;55,812;26,813;3,905;0,397;0;0,101;0
"45";3,646;1,33;0,005;0,054;0,288;1,073;0,898;5,825;57,603;27,34;1,886;0;0,052;0
"46";3,307;1,13;0,047;1,595;0,068;1,338;1,18;1,965;86,933;0,863;1,386;0;0,188;0
"47";6,862;2,243;0;0,314;0,207;2,462;2,89;6,77;40,409;35,776;1,001;0;1,065;0
"48";16,861;0,817;0,005;0,086;0,753;3,412;0,509;1,728;69,46;5,862;0,465;0;0,042;0
"49";4,392;1,297;0,068;0,151;0,195;0,236;4,855;1,573;85,016;1,272;0,552;0;0,393;0
"50";27,627;0,408;0;0,605;0,081;0,711;1,882;8,921;51,296;3,743;4,646;0;0,081;0
"51";12,972;1,887;0,03;0,229;1,81;3,291;2,414;4,046;68,811;2,679;1,714;0;0,118;0
"52";0,839;8,042;0;74,477;0,021;0,058;0,213;0,894;13,816;1,414;0,107;0;0,118;0
"53";6,268;1,042;0;0,035;0,139;1,568;4,341;3,76;73,328;6,602;2,828;0;0,088;0
"54";2,389;2,021;0,035;0,47;0,741;0,388;1,556;1,561;83,884;5,139;1,497;0;0,319;0
"55";1,822;1,467;0,118;1,264;0,129;0,625;0,881;1,493;42,569;3,738;45,782;0;0,112;0
"56";21,755;1,745;0;0,184;0,28;1,066;2,442;2,647;61,129;7,333;1,372;0;0,046;0
"57";17,042;7,386;0;9,057;1,794;0,731;5,386;46,503;0;4,752;2,336;0;5,012;0
"58";53,829;0,368;0,004;0,047;0,055;0,059;1,251;1,988;35,924;1,275;4,98;0;0,221;0
"59";2,405;0,906;0;0,054;0,41;0,241;1,065;3,501;74,036;9,677;3,963;0;3,743;0
"60";2,926;0,907;0,034;0,221;0,443;0,905;1,266;5,007;78,838;5,746;3,628;0;0,078;0
"61";10,577;2,08;0,095;0,147;1,346;0,725;2,744;23,624;49,602;7,1;1,856;0;0,104;0
"62";2,507;14,69;0,022;0,37;0,285;1,498;2,55;3,394;63,042;4,709;6,67;0;0,263;0
"63";13,088;0,993;0;0;0,2;0,883;0,628;7,616;72,616;3,279;0,549;0;0,149;0
"64";14,72;0,581;0,016;0,139;0,352;0,157;0,5;2,897;77,992;1,004;1,557;0;0,084;0
"65";7,947;21,445;0,038;0,157;0,226;0,551;1,227;4,852;60,99;1,412;0,345;0;0,811;0
"66";11,902;2,451;0;0,152;1,128;1,634;1,787;2,372;68,84;8,649;0,939;0;0,147;0
"67";12,986;0,644;0,021;0,807;0,111;0,894;1,07;1,945;78,967;1,506;0,955;0;0,092;0
"68";12,419;2,594;0,014;0,097;0,123;0,393;2,985;2,99;74,979;2,604;0,779;0;0,024;0
"69";4,993;1,437;0,024;0,449;0,162;0,508;1,243;3,195;69,733;6,688;11,24;0;0,328;0
"70";4,874;2,776;0;0,189;0,123;0,09;1,24;2,416;85,002;2,383;0,858;0;0,049;0
"71";11,028;14,329;0,037;0,345;0,067;0,295;0,754;1,688;68,099;2,646;0,614;0;0,098;0
"72";2,587;1,126;0,064;0,024;0,824;0,469;1,15;13,362;73,365;3,987;2,844;0;0,198;0
"73";2,852;0,837;0,014;0,136;0,057;1,222;11,212;6,448;70,829;3,638;2,631;0;0,123;0
"74";3,895;1,021;0,136;1,2;0,095;0,634;2,703;4,89;57,617;26,778;0,763;0;0,269;0
"75";3,177;1,206;0,021;0,072;0,088;0,412;0,708;19,827;71,218;1,831;1,37;0;0,071;0
"76";3,703;0,714;0,026;0,118;1,577;0,137;1,34;2,638;79,726;7,986;1,723;0;0,311;0
"77";1,332;0,275;0;0,032;0,015;75,543;0,231;10,934;11,313;0,206;0,103;0;0,016;0
"78";5,981;1,844;0,027;0,254;0,261;1,208;1,374;2,511;66,213;18,76;1,36;0;0,207;0
"79";54,25;10,15;0;4,235;0,398;0,268;4,458;3,079;18,464;3,775;0,822;0;0,102;0
"80";6,621;8,452;0;1,372;0,113;0,581;1,791;3,447;65,93;2,228;9,174;0;0,29;0
"81";7,232;0,564;0;0,044;0,354;1,156;0,179;1,157;55,251;33,175;0,87;0;0,018;0
"82";13,407;0,906;0,015;0,03;0,469;0,29;3,099;4,075;44,18;20,53;12,921;0;0,078;0
"83";6,65;7,796;0;0,092;0,304;0,769;2,062;11,59;62,272;3,522;4,766;0;0,177;0
"84";3,441;0,87;0,052;0,173;0,104;0,26;1,769;2,979;88,273;1,478;0,561;0;0,04;0
"85";2,212;0,516;0,007;0,173;0,094;0,153;0,339;3,157;88,683;2,822;0,909;0;0,934;0
"86";2,067;0,978;0,007;0,283;0,266;0,591;1,406;2,21;72,096;18,457;1,577;0;0,061;0
"87";26,028;1,023;0;0,179;0,398;0,38;1,211;11,38;39,425;8,756;10,886;0;0,334;0
"88";4,838;0,801;0;0;0,075;0,391;7,465;10,811;73,479;1,277;0,857;0;0,006;0
"89";3,651;2,618;0,232;0,086;0,097;0,293;1,211;6,385;71,058;11,037;3,034;0;0,297;0
"90";40,167;0,953;0;0,474;0,072;0,343;1,234;10,854;39,168;5,982;0,685;0;0,066;0
"91";5,061;1,181;0;0,11;0,34;1,22;1,867;4,418;79,604;4,764;1,177;0;0,259;0
"92";7,682;1,201;0,021;0,146;0,289;0,935;2,726;2,394;69,561;2,692;0,907;0;11,446;0
"93";4,158;1,242;0,012;0,283;0,269;0,35;1,362;3,499;86,013;1,265;1,514;0;0,032;0
"94";10,781;21,363;0;0,442;0,07;0,171;0,948;1,914;62,792;0,975;0,47;0;0,075;0
"95";5,132;1,782;0,03;0,19;0,12;0,339;0,831;0,735;54,747;32,936;2,319;0;0,838;0
"96";2,229;1,871;0;0,137;0,051;0,325;1,294;1,705;89,585;1,684;1,068;0;0,051;0
"97";37,074;7,89;0;0,062;0,129;0,985;0,768;6,502;43,35;1,602;1,158;0;0,479;0
"98";9,715;1,56;0,013;0,075;0,374;0,475;2,714;3,011;74,24;5,97;1,652;0;0,202;0
"99";15,952;1,343;0,006;0,034;0,571;0,619;1,082;1,552;57,909;2,754;17,977;0;0,202;0
"100";48,878;1,167;0;0,061;0,525;0,752;0,882;2,314;43,745;0,948;0,631;0;0,098;0
"101";4,494;0,763;0;0,17;0,522;0,414;0,996;1,669;88,853;1,01;1,004;0;0,103;0
"102";13,404;7,763;0;0,387;0,063;0,154;0,953;4,548;63,486;7,846;1,215;0;0,181;0
"103";7,139;4,592;0,197;0,017;0,149;0,073;1,321;18,176;39,818;27,486;0,986;0;0,048;0
"104";40,098;0,529;0;0,177;0,129;0,261;2,61;0,925;46,305;7,952;1,014;0;0;0
"105";10,647;1,13;0,274;0,299;0,264;0,38;0,985;36,979;26,882;1,953;20,151;0;0,055;0
"106";2,593;0,778;0,034;0,47;0,147;1,238;2,631;1,037;80,534;9,382;0,919;0;0,236;0
"107";17,256;0,88;0;0,017;0,072;0,314;0,702;1,558;77,383;0,832;0,962;0;0,024;0
"108";3,304;3,645;0;0,073;0,09;0,306;0,643;0,894;89,108;0,943;0,978;0;0,016;0
"109";19,855;1,423;0,01;3,189;0,1;0,35;1,08;3,489;61,896;2,507;5,954;0;0,146;0
"110";1,086;1,668;0;0,718;0,345;0,079;1,119;1,147;86,216;5,946;1,638;0;0,037;0
"111";4,492;2,751;0,047;0,064;0,674;3,938;2,131;6,315;73,313;2,905;2,906;0;0,464;0
"112";44,06;4,145;0;0,26;0,381;0,342;3,269;4,009;36,577;4,016;2,882;0;0,059;0
"113";3,657;1,202;0,062;0,109;0,289;0,131;1,441;1,796;88,292;2,378;0,546;0;0,098;0
"114";24,068;6,892;0,021;0,136;0,267;0,632;2,416;4,419;49,661;5,478;5,87;0;0,141;0
"115";1,025;0,173;0,002;0,035;0,084;0,182;85,747;1,305;9,904;0,391;1,137;0;0,016;0
"116";25,771;2,392;0;0,172;0,476;2,645;2,597;2,153;61,265;1,437;1,092;0;0;0
"117";8,326;2,864;0;0,021;0,246;0,755;3,687;3,244;69,604;8,36;2,644;0;0,249;0
"118";9,022;1,004;0,017;0,105;0,071;0,29;4,4;4,931;61,239;2,744;6,692;0;9,486;0
"119";3,748;1,27;1,512;0,284;0,538;0,352;0,686;5,2;73,996;8,704;3,586;0;0,123;0
"120";69,655;0,673;0,002;0,081;0,07;0,248;0,451;0,793;27,546;0,24;0,24;0;0,002;0
"121";4,536;3,002;0,093;0,146;3,898;0,537;1,661;1,912;71,461;1,648;11,025;0;0,081;0
"122";1,995;0,705;0;0,969;0,148;0,657;0,934;2,969;86,858;3,604;0,561;0;0,599;0
"123";16,184;4,455;0,185;0;0,162;0,618;1,456;4,266;43,305;27,08;2,161;0;0,129;0
"124";10,702;1,461;0,058;0,142;0,167;0,995;1,55;8,037;62,634;1,331;6,472;0;6,451;0
"125";1,544;0,349;0,037;0,171;0,038;0,227;0,364;58,818;37,761;0,412;0,211;0;0,067;0
"126";10,235;9,461;0,034;0,374;3,152;0,878;2,14;7,925;54,511;4,893;5,499;0;0,898;0
"127";4,67;1,952;0,085;0,499;0,868;0,669;4,227;1,918;80,244;3,239;1,568;0;0,062;0
"128";1,074;4,907;0;0,233;0,348;0,244;1,627;2,962;41,942;6,118;39,62;0;0,925;0
"129";9,952;1,964;0,005;0,181;0,208;0,316;1,167;21,251;60,232;2,335;1,34;0;1,049;0
"130";7,037;0,882;0;0,032;0,048;0,121;0,448;0,614;57,419;33,181;0,118;0;0,101;0
"131";24,799;0,568;0;0,098;0,137;0,097;0,427;3,707;24,711;44,764;0,677;0;0,015;0
"132";1,954;0,303;0,014;0;0,148;1,067;0,812;0,673;92,798;1,034;0,833;0;0,363;0
"133";4,73;4,096;0;0,13;0,279;17,317;0,644;1,259;68,268;2,092;0,485;0;0,7;0
"134";6,913;6,596;0;0,342;0,409;0,394;1,859;2,638;75,737;3,223;1,739;0;0,149;0
"135";39,305;1,781;0,104;0,301;0,263;2,883;2,933;1,808;47,246;1,935;1,172;0;0,268;0
"136";5,825;5,894;0,048;1,089;0,374;2,503;3,682;3,592;65,478;10,049;1,356;0;0,11;0
"137";2,118;3,906;0,09;0,106;0,443;0,138;3,279;4,047;81,699;2,733;1,054;0;0,387;0
"138";1,078;0,277;0;0,053;0,04;0,043;0,613;64,114;29,692;2,964;1,092;0;0,034;0
"139";5,533;0,858;0,062;0,109;0,334;0,476;2,188;1,061;83,724;3,968;0,921;0;0,764;0
"140";3,084;60,943;0;0,029;0,091;0,066;1,348;1,175;26,487;6,205;0,52;0;0,052;0
"141";4,059;4,238;0,015;0,105;0,161;0,52;0,876;2,807;82,409;4,078;0,665;0;0,068;0
"142";6,011;1,548;0;0,212;0,147;0,808;2,292;8,318;71,984;6,632;0,859;0;1,188;0
"143";1,896;0,337;0,006;0,034;0,715;0,377;0,535;0,902;93,647;1,069;0,429;0;0,054;0
"144";56,829;0,664;0;0,006;0,048;0,276;0,479;0,922;39,802;0,592;0,359;0;0,024;0
"145";5,09;1,295;0,059;0,04;1,381;0,238;1,993;8,916;72,71;7,826;0,378;0;0,072;0
"146";5,285;0,741;0;13,927;0,207;0,485;1,34;2,679;67,654;4,801;1,764;0;1,117;0
