"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";84,9;1,741;6,084;1,209;0,336;0,779;0,238;2,457;0;1,737;0,489;0;0,029;0
"2";68,903;12,3;0,451;0,338;0,245;1,243;5,931;2,481;0;7,853;0,254;0;0;0
"3";89,017;0,575;1,524;0,066;0,167;0,611;0,466;2,246;0;5,154;0,144;0;0,03;0
"4";46,859;5,467;1,942;0,534;3,884;4,54;0,544;19,494;0;14,632;1,285;0;0,819;0
"5";16,122;18,389;0,358;0,658;1,194;4,559;3,168;15,132;0;39,5;0,79;0;0,131;0
"6";16,075;4,296;30,12;1,158;0,423;0,348;0,901;41,015;0;5,472;0,191;0;0;0
"7";26,034;3,497;0,931;0,297;0,497;5,785;3,851;30,663;0;28,056;0,388;0;0;0
"8";21,408;6,44;4,474;0,273;0,541;8,345;7,461;35,125;0;14,79;0,822;0;0,32;0
"9";54,155;16,213;0,521;1;1,415;1,23;3,063;11,914;0;8,893;1,597;0;0;0
"10";26,02;10,716;0,44;0,225;8,332;0,64;3,051;11,865;0;38,124;0,588;0;0;0
"11";18,487;13,636;0,6;0,528;0,827;4,298;3,353;23,141;0;33,061;0,311;0;1,759;0
"12";86,104;1,197;0,485;0,236;0,104;0,201;0,59;9,11;0;1,559;0,339;0;0,074;0
"13";46,995;4,203;0,798;10,296;0,504;0,473;2,707;29,668;0;3,38;0,976;0;0;0
"14";44,636;7,115;0,869;0,174;0,467;0,761;1,572;18,664;0;24,268;1,451;0;0,022;0
"15";90,985;0,692;0,078;0,524;0,178;0,053;0,73;0,795;0;5,8;0,113;0;0,054;0
"16";37,778;12,284;0,363;6,22;1,308;0,917;1,642;16,748;0;22,05;0,689;0;0;0
"17";4,101;2,46;0,175;0,384;1,198;0,5;2,903;86,538;0;1,614;0,062;0;0,066;0
"18";3,64;1,148;0,927;0,162;0,145;0,117;1,584;4,782;0;0,692;86,684;0;0,119;0
"19";63,87;6,619;0,89;1,826;0,582;2,344;5,787;8,744;0;8,903;0,377;0;0,058;0
"20";96,948;0,555;0,033;0,993;0,066;0,049;0,572;0,5;0;0,208;0,059;0;0,017;0
"21";39,173;4,144;0,381;0;0,425;0,44;1,198;6,773;0;46,323;0,896;0;0,247;0
"22";28,303;24,185;7,112;0;3,082;1,745;9,55;15,019;0;9,906;1,097;0;0;0
"23";3,296;1,393;0,087;0,172;0,357;0,668;0,236;46,307;0;47,247;0,17;0;0,067;0
"24";10,285;2,729;18,217;0,094;45,422;0,797;1,354;17,445;0;3,257;0,4;0;0;0
"25";66,484;10,222;1,164;2,825;1,107;1,551;4,586;5,406;0;6,126;0,53;0;0;0
"26";20,382;7,659;1,4;3,446;4,717;0,843;20,431;12,176;0;27,099;1,704;0;0,142;0
"27";25,98;4,953;0,591;0,089;0,943;0,543;1,053;35,157;0;30,245;0,407;0;0,039;0
"28";6,189;77,883;0,9;0,14;0,922;0,452;1,51;8,002;0;3,018;0,945;0;0,04;0
"29";32,223;6,171;0,911;1,187;7,364;5,724;10,962;23,463;0;9,187;2,809;0;0;0
"30";48,588;8,599;1,074;0,706;1,705;1,732;0,535;7,331;0;27,359;2,371;0;0;0
"31";92,372;0,627;0,205;0,029;0,19;2,977;0,954;0,883;0;1,612;0,152;0;0;0
"32";82,817;2,057;0,163;9,812;0,143;0,532;1,311;1,167;0;1,86;0,108;0;0,031;0
"33";7,452;2,074;2,269;71,508;0,222;0,913;1,159;2,527;0;1,7;10,176;0;0;0
"34";27,157;11,667;1,173;0,356;0,616;1,848;26,818;17,11;0;7,196;5,513;0;0,545;0
"35";37,284;14,14;0,784;0,229;0,665;0,778;6,678;22,203;0;16,446;0,652;0;0,141;0
"36";38,686;14,418;0,863;2,634;0,614;9,7;8,301;10,938;0;10,291;1,861;0;1,693;0
"37";0,575;0,638;0,037;0,009;0,009;0,033;0,125;98,377;0;0,186;0,01;0;0,001;0
"38";25,933;17,561;1,831;3,154;1,364;1,875;9,908;20,835;0;15,839;1,247;0;0,452;0
"39";17,446;5,498;2,594;0,254;0,564;14,289;2,762;51,492;0;4,654;0,413;0;0,035;0
"40";42,249;10,794;6,518;0,666;3,585;1,693;1,727;20,306;0;9,805;2,31;0;0,347;0
"41";29,779;7,309;0,617;1,517;0,907;2,294;8,835;11,128;0;34,412;3,201;0;0;0
"42";31,258;7,688;0,501;0,782;5,605;6,129;5,407;16,663;0;12,489;12,942;0;0,536;0
"43";22,721;3,671;0,314;2,963;0,357;5,099;1,238;11,178;0;52,244;0,216;0;0;0
"44";85,55;4,707;0,134;0,114;0,261;0,368;0,243;6,45;0;2,081;0,092;0;0;0
"45";31,393;5,287;0,601;0,541;0,852;1,039;4,668;9,698;0;44,782;0,789;0;0,35;0
"46";16,766;57,135;0,224;1,11;1,392;0,363;2,09;9,734;0;10,251;0,838;0;0,096;0
"47";11,836;7,806;0,254;0,342;0,165;3,778;3,11;9,944;0;62,322;0,416;0;0,026;0
"48";68,9;6,627;0,324;0,372;0,828;1,684;1,073;8,085;0;10,752;0,837;0;0,518;0
"49";29,626;3,391;49,788;0,274;0,799;1,052;4,807;5,905;0;3,995;0,362;0;0;0
"50";44,925;7,039;2,073;0;1,155;1,027;4,463;5,022;0;33,011;1,163;0;0,121;0
"51";31,528;8,062;0,337;5,104;1,022;2,02;8,812;11,754;0;29,571;1,592;0;0,198;0
"52";0,174;0,393;0,021;0,015;0,027;0,035;0,074;0,138;0;99,041;0,073;0;0,008;0
"53";43,453;4,388;2,102;5,241;1,011;20,19;4,205;9,084;0;9,459;0,631;0;0,237;0
"54";46,382;7,589;1,422;0,762;1,305;6,427;3,403;10,959;0;15,388;6,364;0;0;0
"55";15,65;10,915;0,33;0,219;0,583;0,31;1,745;12,676;0;57,284;0,162;0;0,127;0
"56";55,026;4,033;0,138;2,311;0,708;0,32;10,908;20,555;0;4,579;1,319;0;0,102;0
"57";10,849;2,485;0,333;0,275;3,909;1,689;52,18;6,105;0;21,646;0,53;0;0;0
"58";30,274;4,303;1,07;47,244;0,274;0,577;2,442;6,765;0;6,336;0,715;0;0;0
"59";31,603;12,617;0,625;0,964;1,414;2,249;3,507;17,518;0;28,003;1,377;0;0,122;0
"60";30,888;4,716;3,951;0,34;0,386;1,641;43,488;5,37;0;7,039;2,183;0;0;0
"61";24,368;7,958;1,06;0,542;12,064;0,882;1,353;35,026;0;14,704;1,824;0;0,218;0
"62";53,486;8,963;4,346;0,396;1,694;9,933;1,448;13,41;0;4,808;1,403;0;0,114;0
"63";78,747;3,992;0,261;0,194;0,174;0,772;1,577;8,118;0;5,43;0,162;0;0,574;0
"64";66,942;2,11;0,202;0,934;0,188;0,341;0,323;4,113;0;23,645;0,064;0;1,137;0
"65";55,545;13,467;2,21;0,259;1,215;1,275;2,069;10,19;0;10,469;2,213;0;1,087;0
"66";26,852;6,734;1,208;0,528;2,403;9,855;4,712;35,591;0;11,386;0,59;0;0,142;0
"67";35,415;5,089;0,922;0,991;1,879;0,936;4,858;13,081;0;27,897;1,588;0;7,345;0
"68";32,036;8,208;0,207;0,991;0,17;0,639;0,816;6,473;0;49,976;0,385;0;0,1;0
"69";84,204;0,852;0,123;0,183;8,491;1,502;0,643;1,309;0;1,439;1,14;0;0,115;0
