"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"1";0,241;0;0,435;11,034;0,122;2,781;64,608;8,107;9,745;2,928;0
"2";0,55;1,519;0,154;18,471;0,283;5,76;59,896;0;7,916;5,452;0
"3";0,584;28,178;0,392;2,675;2,32;6,681;24,077;20,257;8,951;5,885;0
"4";0;0,928;0,429;1,873;1,131;1,833;55,724;21,125;10,092;6,864;0
"5";0,369;0,83;0;0;1,996;4,956;65,497;0;21,495;4,858;0
"6";0;4,907;0;3,504;0,185;4,039;49,718;5,772;23,582;8,294;0
"7";0;1,107;0;1,822;0,323;57,737;19,626;5,002;12,672;1,71;0
"8";0;3,472;0,081;0,337;0,059;2,734;4,537;53,786;34,022;0,972;0
"9";0,557;3,981;0,151;1,802;0,808;2,934;58,866;6,42;17,243;7,239;0
"10";0,052;2,981;0,326;0;2,061;44,176;43,636;0;4,512;2,256;0
"11";0,141;0,259;0,045;0,325;0,473;1,954;4,233;88,901;2,242;1,427;0
"12";0;3,768;0,37;7,682;0,582;4,317;47,928;18,247;12,326;4,78;0
"13";0,083;0;0,039;0,418;0,211;0,175;6,028;10,873;81,307;0,866;0
"14";0,035;0,221;0,027;6,656;1,764;0,562;86,019;0;2,83;1,886;0
"15";0,339;0,776;0,188;0;0,241;7,279;22,061;17,218;49,834;2,065;0
"16";0;5,006;0,624;0,45;33,422;3,193;23,12;17,203;4,022;12,958;0
"17";0;9,622;1,301;1,488;1,947;8,007;58,858;0;11,611;7,166;0
"18";0,047;0,104;0,008;0,084;0,022;90,522;8,59;0;0,365;0,258;0
"19";0,098;0,388;3,129;0,731;0,088;78,385;5,158;7,174;4,04;0,809;0
"20";0,227;0,393;0,169;5,439;0,266;13,376;59,311;13,497;4,097;3,224;0
"21";0,015;1,659;0,105;0,229;0,318;0,114;96,015;0;0,972;0,573;0
"22";0;1,784;0;1,732;1,181;5,932;22,609;34,615;16,133;16,013;0
"23";0,044;3,482;0,088;1,46;0,377;1,254;23,403;53,149;11,379;5,364;0
"24";0;1,336;0,488;10,844;1,334;14,312;47,284;6,46;13,014;4,929;0
"25";0;5,24;0,15;1,577;0,363;21,052;62,974;0;6,173;2,471;0
"26";0,225;0,764;6,752;6,63;0,56;4,067;51,781;15,982;9,449;3,791;0
"27";0,801;0,968;5,545;27,61;3,689;3,798;34,075;0;13,754;9,76;0
"28";0,578;36,763;0,76;2,526;0,996;0,693;44,883;0;6,521;6,279;0
"29";0;0,251;0,243;0,348;0,572;0,41;16,872;70,455;3,344;7,504;0
"30";0,805;0;0,934;11,37;1,561;7,692;57,69;0;10,597;9,353;0
"31";0;6,794;0,467;2,776;2,014;4,447;67,361;0;9,502;6,64;0
"32";1,989;1,626;0;4,342;0,415;31,465;42,455;0;10,344;7,363;0
"33";0;5,603;0,182;7,895;0,714;15,231;45,542;0;16,478;8,355;0
"34";0,245;0;0,057;1,316;1,132;1,312;78,453;4,463;10,069;2,953;0
"35";1,494;12,577;0,458;0;1,624;10,687;54,3;0;10,84;8,02;0
"36";0;1,777;1,017;11,03;3,756;6,444;40,727;13,665;17,809;3,776;0
"37";0,291;3,565;23,005;3,343;0,34;0,865;40,309;16,454;9,135;2,695;0
"38";0;6,381;8,716;1,374;1,598;5,748;50,822;0;23,057;2,303;0
"39";0,107;1,381;0,388;0,847;0;17,724;59,018;8,973;5,06;6,502;0
"40";0;3,721;0,407;0;0,61;65,965;14,572;0;11,928;2,796;0
"41";0,178;1,699;0,57;1,549;2,135;5,216;50,638;17,968;8,673;11,374;0
"42";0,027;0,071;0,039;0,196;0,006;0,273;0,829;0,623;97,634;0,303;0
"43";0,091;1,657;0,291;28,617;0,61;1,305;16,819;43,255;2,944;4,413;0
"44";0;3,621;0,773;15,738;0,275;0,813;31,783;17,64;5,596;23,761;0
"45";0;2,041;0,206;1,846;18,853;0,913;38,566;28,803;4,765;4,006;0
"46";0,466;5,775;0,11;8,398;1,037;4,527;52,744;3,332;12,559;11,051;0
"47";0;0,282;0;0,294;1,211;26,103;23,089;46,36;1,918;0,742;0
"48";0,53;1,402;0,189;8,075;0,468;3,602;34,26;10,946;32,492;8,035;0
"49";0,17;7,07;0,858;2,754;1,099;51,425;15,342;0;18,702;2,58;0
