"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13"
"62";1,841;4,42;3,748;0,396;4,128;7,758;1,482;60,311;0;0,964;14,706;0;0,247
"63";0,309;1,235;15,282;0,743;2,13;41,815;1,823;33,274;0;0,162;3,227;0;0
"64";0,359;1,171;1,287;0,324;14,975;2,199;0,208;73,172;0;0,617;4,585;0;1,102
"65";0,467;4,951;1,436;0,48;1,252;11,87;10,235;61,802;0;0,602;6,008;0;0,896
"66";0,387;5,17;0,716;0,339;2,782;5,66;0,89;71,112;0;6,547;4,027;0;2,369
"67";2,218;6,002;0,955;5,391;15,067;4,007;3,383;44,895;0;0,742;8,139;0;9,199
"68";0,095;0,867;1,13;0,407;1,928;18,952;5,861;66,265;0;0,154;1,357;0;2,984
"69";0,755;4,791;23,4;0,544;2,284;8,341;8,291;43,493;0;0,349;4,817;0;2,936
"70";0,325;2,764;0,751;0,154;2,895;4,785;6,462;76,888;0;0,711;3,633;0;0,632
"71";0,261;10,004;1,166;5,664;6,5;6,755;25,587;30,141;0;0,58;12,972;0;0,372
"72";0,383;4,361;1,71;0,243;3,233;2,014;0,384;58,316;0;0,886;28,113;0;0,356
"73";0,588;17,618;4,491;0,178;6,47;9,018;0,322;48,129;0;0,191;11,98;0;1,016
"74";0,402;3,902;0,879;5,074;4,966;10,477;1,387;67,568;0;0,236;3,119;0;1,991
"75";0,071;0,592;1,166;4,988;0,673;3,14;0,13;72,147;0;15,655;1,267;0;0,17
"76";0,185;0,412;0,759;0,035;0,668;0,389;0,119;94,542;0;0,048;2,793;0;0,05
"77";0,492;35,307;0,977;0,394;2,518;2,481;3,307;45,969;0;2,013;5,182;0;1,361
"78";0,716;1,853;2,054;1,165;3,435;12,211;11,551;63,167;0;0,274;2,908;0;0,665
"79";0,508;2,473;4,859;1,239;2,102;10,931;0,564;62,245;0;0,383;12,815;0;1,881
"80";0,197;0,96;0,713;0,288;2,032;20,095;14,102;58,739;0;0,412;1,625;0;0,837
"81";1,462;6,499;1,299;0,298;4,026;11,41;1,614;66,427;0;0,272;6,502;0;0,191
"82";0,049;2,247;0,279;0,298;3,575;64,119;0,313;25,36;0;0,184;3,202;0;0,374
"83";0,027;1,33;2,573;0,109;0,908;55,977;0,421;34,203;0;0,252;3,764;0;0,436
"84";0,161;6,13;1,224;0,094;31,717;6,141;1,7;45,865;0;0,982;5,507;0;0,478
"85";1,242;2,126;1,608;1,71;2,225;2,519;1,361;54,84;0;0,534;3,629;0;28,204
"86";0,018;0,449;0,115;0,259;1,045;0,217;0,081;97,137;0;0,02;0,426;0;0,233
"87";0,458;16,875;1,79;1,396;2,696;14,881;3,967;50,818;0;0,258;4,148;0;2,711
"88";0,059;0,412;0,637;0,047;96,351;0,286;0,026;1,958;0;0,025;0,199;0;0
"89";0,513;3,232;1,109;1,809;1,996;23,413;6,346;50,044;0;0,522;10,768;0;0,248
"90";0,25;1,825;0,622;0,953;7,025;20,91;3,328;31,934;0;0,315;32,078;0;0,761
"91";0,128;7,019;9,255;0,152;2,428;3,982;2,05;53,09;0;0,4;4,849;0;16,645
"92";0,496;1,617;0,947;0,248;2,101;1,657;0,549;87,053;0;0,571;3,584;0;1,177
"93";0,333;3,291;0,764;0,235;1,795;20,155;0,622;50,708;0;0,175;20,992;0;0,931
"94";3,504;3,368;1,253;0,522;4,625;4,487;2,044;69,092;0;0,201;4,562;0;6,342
"95";0,788;4,57;0,922;1,388;4,237;13,976;0,677;56,451;0;0,467;16,002;0;0,522
"96";0,153;1,625;3,519;0,09;1,3;1,296;0,253;69,633;0;0,095;1,984;0;20,052
"97";0,423;8,608;1,407;0,757;3,922;7,916;1,612;58,595;0;0,568;5,142;0;11,051
"98";1,364;1,047;0,437;0,108;0,371;1,241;0,277;94,329;0;0,048;0,536;0;0,242
"99";0,101;1,221;0,559;0,349;1,235;1,167;0,897;91,057;0;0,182;2,661;0;0,571
"100";72,728;0,313;0,285;0,033;4,318;0,291;0,075;21,601;0;0,02;0,238;0;0,097
"101";0,176;1,91;1,723;0,563;1,192;51,024;1,372;38,492;0;0,229;2,815;0;0,504
"102";0,162;1,495;1,339;0,381;1,06;3,064;4,327;57,457;0;2,348;28,087;0;0,282
"103";0,217;2,689;0,747;0,078;2,475;9,681;0,833;76,459;0;0,051;5,852;0;0,918
"104";0,696;1,735;2,828;0,42;2,104;5,433;2,013;73,899;0;0,178;10,528;0;0,166
"105";0,126;1,81;3,597;0,47;1,457;2,137;2,756;79,097;0;0,366;7,823;0;0,359
"106";1,03;3,562;5,475;0,726;6,875;6,449;3,041;60,202;0;1,446;9,522;0;1,672
"107";6,546;8,924;17,746;0,269;3,058;39,813;0,528;19,941;0;0,956;1,928;0;0,291
"108";0,267;2,676;0,428;0,064;11,819;0,603;0,233;80,875;0;1,181;1,609;0;0,244
"109";0,093;1,12;0,914;0,281;1,417;2,124;0,623;86,473;0;2,872;3,458;0;0,626
"110";0,091;0,821;0,471;0,045;0,907;1,35;0,209;94,107;0;0,179;1,035;0;0,784
"111";2,205;4,911;2,795;0,435;7,109;10,414;8,154;52,362;0;0,504;8,726;0;2,385
"112";0,2;11,458;9,962;0,724;0,91;5,206;0,156;67,315;0;0,791;1,773;0;1,505
