"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13"
"259";0,728;11,422;0,707;0,324;1,396;1,542;3,757;71,397;0;0,524;7,099;0;1,103
"260";1,98;2,052;2,46;0,313;2,045;1,538;1,443;63,522;0;4,497;15,506;0;4,645
"261";2,529;21,037;3,127;0,311;3,856;3,74;3,604;53,218;0;0,377;7,182;0;1,019
"262";0,105;1,733;5,095;0,363;5,917;3,012;1,295;78,179;0;0,775;3,12;0;0,405
"263";0,264;3,438;1,096;3,904;2,167;5,214;10,505;63,674;0;0,704;8,545;0;0,49
"264";0,212;1,897;1,162;0,166;16,305;2,376;0,528;21,958;0;0,356;53,952;0;1,089
"265";0,232;8,495;1,806;3,912;7,587;2,234;5,591;39,118;0;0,686;18,012;0;12,326
"266";0,5;9,012;1,296;0,272;12,358;2,555;1,772;62,763;0;0,233;8,912;0;0,327
"267";3,853;2,094;1,323;0,41;3,031;3,343;1,748;74,071;0;0,365;5,546;0;4,216
"268";0;0,007;0,004;0,001;0,003;99,724;0,056;0,199;0;0;0,004;0;0,001
"269";0,386;2,828;2,016;0,108;1,842;9,628;2,493;71,455;0;0,57;6,868;0;1,806
"270";0,046;0,36;0,073;0,024;0,807;0,324;0,494;97,542;0;0,027;0,262;0;0,04
"271";0,823;1,872;2,396;0,251;7,977;3,723;15,641;60,014;0;1,276;5,18;0;0,848
"272";0,409;3,246;1,729;0,375;3,323;2,594;0,962;76,792;0;0,309;8,575;0;1,685
"273";0,431;3,443;2,939;0,341;1,811;16,497;3,612;52,239;0;1,504;16,755;0;0,428
"274";0,724;5,418;0,997;0,36;4,363;5,004;1,187;64,525;0;0,617;16,444;0;0,362
"275";0,768;6,199;1,929;0,193;5,207;1,484;3,5;41,018;0;0,477;38,102;0;1,124
"276";0,173;2,157;2,683;0,704;6,041;9,417;13,086;54,475;0;0,44;6,484;0;4,339
"277";2,158;3,46;0,919;0,144;1,105;1,192;0,369;86,617;0;0,098;3,374;0;0,565
"278";0,83;4,038;0,433;1,418;1,218;43,215;0,328;36,143;0;2,615;8,875;0;0,888
"279";0,424;7,118;7,58;0,097;5,613;2,24;1,565;69,908;0;0,26;3,569;0;1,624
"280";0,282;2,576;5,98;0,529;3,041;3,597;1,095;77,417;0;0,969;3,752;0;0,763
"281";0,166;1,15;1,067;0,785;0,841;1,043;0,574;24,817;0;0,232;5;0;64,325
"282";0,391;1,144;0,454;0,309;8,571;33,044;0,916;45,293;0;0,16;7,908;0;1,812
"283";0,415;3,986;1,871;0,679;5,275;8,666;2,499;57,679;0;2,137;8,617;0;8,177
"284";0,822;4,962;5,83;0,563;4,233;12,43;1,408;61,175;0;1,624;6,323;0;0,632
"285";0,487;3,973;0,626;0,12;1,735;4,932;2,017;34,11;0;0,233;49,186;0;2,582
"286";0,796;9,013;1,11;0,145;3,849;2,693;5,564;69,223;0;1,049;5,548;0;1,011
"287";0,122;1,015;0,096;0,071;0,473;0,712;0,081;95,403;0;0,024;1,666;0;0,338
"288";0,298;2,523;0,826;0,052;0,469;1,013;0,145;82,443;0;0,139;2,061;0;10,029
"289";1,971;0,828;1,474;1,879;3,156;15,242;0,397;57,343;0;1,878;2,95;0;12,882
"290";1,085;14,041;1,086;2,176;2,709;2,495;1,051;57,517;0;0,274;15,099;0;2,469
"291";0,175;1,563;0,932;0,104;0,861;5,425;0,503;86,408;0;0,218;3,75;0;0,062
"292";0,081;3,22;2,781;1,666;5,75;3,608;3,858;67,937;0;0,59;9,886;0;0,623
"293";0,014;0,403;0,07;0,034;0,266;94,537;0,075;4,207;0;0,057;0,259;0;0,078
"294";0,354;2,322;2,021;0,883;8,869;55,004;0,992;21,939;0;1,25;6,086;0;0,281
"295";0,002;0,029;0,055;0,004;0,011;0,033;0,013;99,825;0;0,003;0,026;0;0,001
"296";0,354;3,97;0,606;0,537;5,316;5,177;0,201;41,744;0;0,377;4,561;0;37,157
"297";0,167;1,375;73,714;0,792;1,37;1,558;1,302;14,481;0;3,601;1,094;0;0,545
"298";0,149;1,071;3,204;0,615;3,309;6,9;0,338;62,451;0;0,382;6,083;0;15,498
"299";0,063;1,098;0,666;0,098;1,319;35,772;0;35,396;0;0,348;21,556;0;3,684
"300";0,204;1,72;2,32;0,39;0,823;33,793;0,846;54,931;0;0,257;4,047;0;0,669
"301";0,256;2,418;0,799;0,091;2,269;45,554;0,677;45,17;0;0,113;2,359;0;0,295
"302";0,02;97,78;0,053;0,008;0,028;0,28;0,032;1,556;0;0,025;0,187;0;0,03
"303";0,631;10,907;3,985;0,225;5,037;6,45;0,594;63,869;0;0,311;5,325;0;2,666
"304";0,18;2,505;0,242;0,522;0,241;2,171;0,08;90,74;0;0,127;3,072;0;0,121
"305";0,484;4,618;1,995;1,461;24,436;6,47;6,662;40,081;0;0,938;11,388;0;1,467
"306";0,233;1,172;1,099;0,982;7,946;1,533;1,577;30,227;0;0,131;54,462;0;0,636
"307";0,788;2,712;1,619;2,131;28,368;2,13;4,831;39,684;0;0,198;15,798;0;1,739
"308";0,122;7,939;1,632;0,344;2,567;5,015;0,681;72,175;0;2,537;5,621;0;1,368
"309";0,028;0,491;1,395;0,462;1,073;84,652;1,829;8,568;0;0,301;0,928;0;0,272
"310";0,13;0,341;0,135;0,061;0,217;45,968;0,252;13,33;0;0,096;39,157;0;0,313
"311";0,891;11,062;1,956;0,079;2,188;1,609;10,896;52,41;0;7,379;10,441;0;1,089
"312";0,624;10,838;1,811;0,188;4,467;1,924;1,871;73,316;0;0,629;3,695;0;0,638
"313";1,603;0,471;0,424;0,113;0,898;0,715;0,333;88,868;0;0,081;1,343;0;5,152
"314";0,154;1,042;0,778;0,144;0,593;2,478;0,062;91,616;0;0,311;2,701;0;0,12
"315";0,416;3,263;3,082;2,029;8,421;5,119;0,964;52,512;0;0,848;6,039;0;17,307
"316";0,054;0,519;0,336;1,218;0,284;0,461;0,398;94,944;0;1,023;0,746;0;0,016
"317";0,62;2,435;1,232;0,427;1,035;4,677;0,507;74,575;0;0,245;12,765;0;1,482
"318";0,258;3,386;2,122;0,904;3,598;4,81;6,277;70,985;0;0,235;6,846;0;0,578
"319";0,324;4,34;0,397;0,261;1,351;0,575;0,245;88,546;0;0,213;2,579;0;1,169
"320";0,871;1,099;0,32;0,055;0,938;1,773;3,384;90,209;0;0,041;0,773;0;0,537
"321";0,159;6,795;0,713;0,432;2,124;2,575;0,427;48,818;0;4,174;32,875;0;0,91
"322";0,643;4,243;1,739;0,31;10,264;5,284;1,028;62,923;0;0,542;11,913;0;1,111
"323";2,098;5,935;5,702;1,208;3,064;5,671;1,7;64,453;0;2,204;6,007;0;1,959
"324";0,725;9,681;3,955;0,386;3,045;9,17;3,441;46,098;0;0,571;14,949;0;7,978
"325";1,833;3,117;1,357;0,177;2,212;5,56;0;74,215;0;0,795;10,06;0;0,674
"326";0,592;10,563;0,629;1,714;1,579;3,738;0,423;56,17;0;0,219;24,372;0;0
"327";0,439;1,751;0,951;1,598;0,694;2,92;25,507;63,652;0;0,304;0,77;0;1,414
"328";0,041;0,305;0,586;0,994;73,146;1,733;0,224;21,794;0;0,034;0,812;0;0,33
"329";0,512;1,444;4,158;0,091;1,214;6,61;0,504;74,577;0;0,441;10,165;0;0,283
"330";0,105;0,627;0,397;0,027;0,511;3,834;0,156;92,97;0;0,032;1,324;0;0,017
"331";11,099;18,89;2,438;1,664;3,827;3,156;1,683;47,386;0;1,306;6,814;0;1,736
"332";0,582;6,159;7,517;0,35;6,495;5,721;8,698;49,406;0;3,263;9,345;0;2,464
"333";0,832;2,202;1,065;0,18;5,488;7,946;0,538;78,284;0;0,204;2,589;0;0,67
"334";0,702;0,599;0,996;0,652;28,155;5,076;0,838;58,528;0;1,647;2,228;0;0,58
"335";0,004;0,905;0,123;0,032;0,042;0,064;0,203;97,255;0;0,018;1,332;0;0,023
"336";0,227;11,673;0,639;0,327;4,388;1,489;45,908;32,359;0;0,196;2,607;0;0,188
"337";0,074;0,649;0,582;0,089;0,351;1,539;0,418;94,974;0;0,078;0,885;0;0,361
"338";0,588;2,503;1,799;0,348;8,259;6,427;0,557;71,376;0;0,65;7,205;0;0,288
"339";0,793;10,274;0,356;0,142;46,187;0,977;1,214;34,733;0;0,141;4,251;0;0,931
"340";0,322;3,435;1,162;0,167;1,042;12,883;1,23;30,442;0;0,296;1,307;0;47,715
"341";0,201;0,539;0,328;0,262;1,189;1,088;0,112;93,709;0;1,034;1,301;0;0,237
"342";0,592;7,054;1,238;0,106;19,961;4,295;0,954;63,224;0;0,271;1,9;0;0,405
"343";0,41;43,415;3,071;2,02;0,982;10,273;0,477;25,352;0;0,403;7,332;0;6,263
"344";0,149;1,065;0,28;0,331;0,259;2,698;0,55;91,122;0;0,227;2,69;0;0,63
"345";0,158;8,851;0,767;0,203;3,217;14,644;0,605;61,23;0;0,295;7,983;0;2,047
"346";0,996;4,126;5,095;2,086;10,366;3,426;0,71;64,696;0;2,738;4,684;0;1,077
"347";0,865;22,953;0,847;0,499;1,431;2,89;1,435;60,325;0;2,859;4,39;0;1,507
"348";0,221;0,844;0,685;0,072;2,192;1,332;0,91;88,129;0;0,13;4,095;0;1,392
"349";0,201;6,286;0,249;0,889;0,844;1,688;0,301;85,983;0;0,336;1,519;0;1,703
"350";0,318;17,294;0,556;0,2;1,41;2,228;1,563;72,7;0;0,792;2,486;0;0,452
"351";0,241;3,102;0,461;1,018;1,894;65,058;0,595;24,599;0;0,099;2,645;0;0,287
"352";0,257;7,737;1,675;1,301;17,193;6,002;0,605;53,862;0;1,348;8,747;0;1,272
"353";0,305;2,094;0,678;0,227;1,348;2,662;1,69;87,151;0;0,063;2,982;0;0,801
"354";0,3;2,369;0,494;0,43;1,552;1,341;0,125;89,846;0;1,455;1,47;0;0,618
"355";3,611;3,214;7,607;0,714;7,865;2,681;3,594;55,637;0;0,807;11,559;0;2,713
"356";0,476;3,19;3,672;0,082;10,906;4,115;0,64;41,051;0;0,212;22,878;0;12,779
"357";0,565;5,101;1,575;0,367;5,048;1,11;1,399;44,174;0;1,904;3,422;0;35,335
"358";0,277;0,918;0,785;0,577;4,742;2,068;1,845;31,505;0;54,994;1,735;0;0,554
"359";1,709;7,134;3,729;1,411;8,159;37,468;1,592;32,476;0;0,391;4,64;0;1,291
"360";1,26;22,146;1,124;0,351;17,195;3,616;6,302;37,679;0;0,654;9,071;0;0,603
"361";0,579;2,947;2,416;3,893;4,167;2,686;1,836;76,752;0;0,297;3,891;0;0,536
"362";0,109;4,38;18,418;0,291;1,424;2,307;4,376;57,864;0;0,418;7,394;0;3,02
"363";0,877;6,263;1,162;21,612;6,661;4,898;0,955;41,18;0;1,129;14,431;0;0,831
"364";0,264;3,486;1,409;0,658;2,878;6,446;0,536;78,419;0;0,383;4,533;0;0,989
"365";0,261;1,756;0,773;0,259;8,909;5,247;13,939;63,614;0;0,687;3,489;0;1,067
"366";0,345;3,214;0,42;0,322;10,376;11,09;3,522;59,165;0;0,787;8,104;0;2,655
"367";0,996;6,008;1,375;0,648;1,694;5,176;1,032;49,495;0;0,163;32,678;0;0,734
"368";0,205;3,862;1,747;1,562;6,23;11,777;1,425;61,259;0;1,226;9,716;0;0,991
"369";0,083;0,676;0,564;0,107;0,526;2,722;1,453;93,023;0;0,078;0,595;0;0,173
"370";3,096;0,746;0,434;0,196;1,622;1,291;1,308;87,378;0;0,091;3,01;0;0,828
"371";0,203;1,964;1,001;0,312;0,97;7,96;0,092;80,209;0;0,538;6,34;0;0,411
"372";0,21;2,944;2,437;0,637;3,906;5,713;9,984;67,335;0;0,594;4,914;0;1,327
"373";0,848;4,255;1,135;0,638;3,591;7,893;1,04;75,245;0;0,823;3,632;0;0,902
"374";0,687;4,012;3,829;0,428;4,048;3,093;3,639;26,935;0;1,09;2,185;0;50,053
"375";0,679;9,373;2,26;0,476;6,505;4,262;13,79;54,497;0;0,558;6,829;0;0,77
"376";0,346;4,553;0,589;3,511;1,977;1,934;5,201;49,855;0;0,39;2,053;0;29,592
"377";0,69;4,802;5,483;0,338;1,24;3,295;0,254;33,871;0;0,507;3,318;0;46,201
"378";0,15;1,761;0,767;2,858;8,63;4,692;1,508;69,772;0;0,268;8,241;0;1,353
"379";0,196;1,401;0,855;0,438;2,907;4,68;4,728;72,501;0;3,192;4,644;0;4,458
"380";0,091;1,24;0,457;0,242;2,537;1,898;0,608;88,549;0;0,205;3,564;0;0,609
"381";0,107;47,287;0,08;0,091;0,353;1,82;0,128;39,93;0;0,141;8,27;0;1,792
"382";0,175;3,362;1,089;0,925;3,675;2,761;2,011;78,724;0;0,325;2,479;0;4,473
"383";0,393;21,713;1,068;7,604;3,632;2,457;1,06;52,913;0;0,372;6,421;0;2,366
"384";0,674;3,305;1,133;0,433;1,334;3,189;13,88;73,707;0;0,178;1,887;0;0,279
"385";0,284;3,599;1,217;0,291;1,711;8,817;1,932;44,042;0;2,673;34,712;0;0,724
"386";1,787;10,803;11,637;0,489;3,715;12,783;2,459;44,276;0;0,995;10,835;0;0,222
"387";2,337;2,006;1,336;0,189;6,115;8,054;12,904;53,714;0;4,575;6,795;0;1,976
"388";0,339;2,204;0,664;0,078;27,177;1,961;17,793;31,962;0;0,524;16,289;0;1,011
"389";0,154;1,535;0,54;0,558;62,133;3,216;9,418;17,63;0;2,742;1,668;0;0,407
"390";1,586;8,387;4,175;0,261;17,21;3,631;6,455;51,933;0;1,241;5;0;0,122
"391";1,351;3,816;0,6;1,768;2,729;2,764;4,388;73,214;0;2,054;3,601;0;3,716
"392";0,147;0,839;0,314;0,112;1,706;1,302;0,216;92,337;0;0,161;2,065;0;0,801
"393";1,934;1,923;0,215;0,096;2,626;0,701;0,661;8,473;0;0,059;0,704;0;82,609
"394";0,113;0,775;0,232;0,064;1,312;0,4;0,196;95,508;0;0,054;1,191;0;0,154
"395";0,219;14,45;2,788;0,247;0,938;2,993;0,172;72,276;0;0,43;4,766;0;0,722
"396";0,462;1,348;0,938;0,236;6,108;2,863;4,932;75,412;0;1,432;5,863;0;0,406
"397";2,007;4,562;1,875;0,476;3,879;4,417;2,292;64,891;0;6,469;8,018;0;1,115
"398";0,138;1,588;89,479;0,027;0,547;0,494;0,128;6,831;0;0,07;0,526;0;0,171
"399";0,145;1,676;9,104;0,29;1,294;32,222;0,953;49,779;0;0,286;3,277;0;0,975
"400";0,889;27,711;2,842;0,586;2,451;11,321;3,613;39,306;0;0,327;9,885;0;1,069
"401";1,057;3,486;1,133;0,166;3,864;24,338;0,954;59,194;0;1,796;2,683;0;1,327
"402";0,194;3,068;1,751;0,408;1,49;8,697;0,637;58,683;0;0,835;5,165;0;19,071
"403";0,949;2,976;1,62;0,847;4,916;4,073;3,147;69,745;0;2,659;5,61;0;3,459
"404";0,718;5,746;1,56;1,011;5,15;3,822;13,023;62,438;0;0,311;3,549;0;2,673
"405";0,267;28,79;1,787;0,759;3,034;6,198;7,35;42,694;0;0,357;7,792;0;0,973
"406";0,113;4,351;0,753;0,7;6,296;2,855;0,322;82,231;0;0,305;1,395;0;0,681
"407";0,261;3,21;1,853;0,034;3,404;34,242;1,217;52,098;0;0,441;2,626;0;0,614
"408";0,519;1,99;1,886;0,927;8,424;11,98;0,867;60,81;0;1,479;9,594;0;1,523
"409";0,2;6,164;12,744;0,148;9,467;2,074;2,988;51,289;0;0,662;10,152;0;4,112
"410";0,838;5,145;2,191;1,508;4,06;3,234;0,793;62,675;0;0,539;17,695;0;1,323
"411";0,364;2,971;0,745;4,001;4,84;8,515;11,054;58,853;0;1,384;5,204;0;2,069
"412";0,551;5,683;1,767;0,689;1,544;2,224;2,278;71,636;0;1,129;12,177;0;0,321
"413";0,086;1,915;0,173;0,443;0,213;8,556;0,116;87,554;0;0,031;0,572;0;0,341
"414";2,471;1,793;1,414;0,115;3,408;2,094;3,286;59,188;0;0,095;25,492;0;0,644
"415";0,542;5,631;1,843;0,196;5,044;8,136;0,831;71,298;0;1,664;4,177;0;0,639
"416";0,092;1,073;2,753;0,054;10,388;1,311;1,104;81,186;0;0,054;0,969;0;1,016
"417";1,116;4,821;1,158;0,427;10,246;14,755;3,294;43,526;0;0,147;17,564;0;2,947
"418";0,583;2,632;6,042;0,371;3,24;46,094;21,463;15,786;0;0,131;2,932;0;0,726
"419";0,407;2,044;4,034;1,126;7,172;15,545;1,357;61,809;0;0,704;4,116;0;1,689
"420";0,193;2,587;0,68;0,133;3,17;2,136;15,556;70,443;0;0,078;4,748;0;0,277
"421";0,2;2,395;0,931;0,577;2,004;42,011;0,54;45,794;0;0,576;4,408;0;0,563
"422";0,831;2,656;2,981;1,645;2,594;5,054;1,744;77,468;0;0,825;3,55;0;0,653
"423";0,731;1,344;0,779;0,052;1,126;0,861;1,221;88,265;0;1,81;3,148;0;0,664
"424";0,183;13,075;3,514;0,626;2,939;2,124;0,555;66,133;0;0,403;10,254;0;0,194
"425";1,701;10,841;3,128;0,182;7,489;4,804;3,31;60,027;0;0,286;7,087;0;1,145
"426";0,116;0,655;0,161;0,353;0,712;1,509;0,375;89,015;0;3,226;1,487;0;2,391
"427";0,171;1,439;2,679;3,201;1,985;2,983;0,467;71,007;0;0,578;13,236;0;2,255
"428";0,422;1,133;0,818;0,163;5,427;2,714;0,739;52,581;0;0,733;2,851;0;32,42
"429";0,588;2,078;1,236;0,182;5,364;14,771;2,721;55,942;0;0,787;15,575;0;0,755
"430";17,611;0,78;0,719;0,236;2,336;0,917;1,161;74,113;0;0,332;1,098;0;0,697
"431";6,686;7,017;4,06;0,394;10,866;3,139;1,802;44,47;0;0,658;20,263;0;0,645
"432";20,988;29,668;2,254;0,867;1,759;3,412;1,016;33,662;0;0,665;4,753;0;0,955
"433";0,984;2,588;3,295;0,242;1,346;2,249;5,414;66,146;0;0,249;12,388;0;5,099
"434";0,118;3,208;0,392;0,159;6,498;1,332;16,004;68,031;0;0,296;3,008;0;0,954
"435";1,071;3,707;2,517;0,677;4,956;5,258;1,208;75,017;0;0,247;4,261;0;1,081
"436";0,156;1,491;1,198;0,446;1,355;2,113;1,64;67,697;0;9,571;12,722;0;1,612
"437";0,754;6,478;2,405;0,697;7,926;6,585;0,968;47,476;0;19,66;6,736;0;0,316
"438";0,527;7,451;1,821;0,339;1,939;3,587;2,023;79,81;0;0,837;1,343;0;0,323
"439";0,246;46,782;1,425;0,433;1,059;1,645;0,894;40,99;0;0,233;2,917;0;3,377
"440";2,92;5,225;2,415;2,058;2,608;9,484;0,849;66,225;0;0,257;6,249;0;1,711
"441";0,4;3,266;1,199;0,551;1,654;6,93;0,98;61,128;0;0,703;21,163;0;2,024
"442";1,643;2,743;1,993;0,897;10,728;11,45;1,722;52,426;0;0,827;15,247;0;0,325
"443";0,267;0,797;1,064;0,803;1,306;13,25;0,751;75,093;0;1,365;5,061;0;0,242
"444";0,365;5,173;0,711;0,124;10,015;3,295;0,501;64,878;0;0,169;14,214;0;0,554
"445";0,201;0,709;0,403;0,357;1,269;0,853;0,33;92,271;0;0,799;1,477;0;1,331
"446";0,414;3,999;0,602;1,123;3,606;1,297;0,903;81,888;0;1,335;4,081;0;0,751
"447";0,109;9,399;1,268;0,113;1,857;0,975;0,684;80,619;0;1,383;3,045;0;0,546
"448";0,16;4,772;2,596;0,381;2,86;1,321;1,184;81,663;0;0,16;3,07;0;1,833
"449";1,925;4,79;5,504;0,599;5,743;11,027;2,013;56,358;0;0,867;10,892;0;0,282
"450";0,773;0,682;1,003;0,129;5,784;7,911;0,445;53,179;0;0,233;28,881;0;0,979
"451";0,341;7,434;1,349;0,308;2,441;3,778;8,627;67,438;0;0,23;7,353;0;0,702
"452";3,013;3,046;0,934;0,358;12,778;3,448;2,815;69,273;0;0,605;3,325;0;0,407
"453";0,535;8,183;2,113;0,574;1,978;4,862;0,658;66,208;0;0,152;4,559;0;10,178
"454";1,85;1,428;2,107;0,054;3,11;2,949;38,387;33,663;0;0,163;14,76;0;1,53
"455";0,704;15,647;1,632;0,564;6,02;2,729;7,118;56,95;0;0,308;3,383;0;4,946
"456";0,609;2,059;29,623;0,763;12,422;4,474;3,781;39,165;0;1,981;3,536;0;1,587
"457";0,578;3,173;0,566;0,091;2,867;1,785;0,536;88,636;0;0,062;1,562;0;0,144
"458";0,786;5,49;0,717;0,465;6,811;2,826;1,548;74,252;0;0,316;5,422;0;1,366
"459";7,834;15,537;4,856;0,179;4,305;3,106;0,602;55,659;0;0,219;5,645;0;2,057
"460";0,067;0,961;0,228;0,107;73,39;2,588;12,975;7,914;0;0,128;1,406;0;0,237
"461";0,013;0,136;1,113;97,354;0,042;0,213;0,009;0,943;0;0,007;0,162;0;0,009
"462";0,619;2,368;6,492;0,17;2,12;1,539;0,791;80,591;0;2,054;2,689;0;0,566
"463";1,06;3,868;2,483;7,338;2,038;13,599;3,553;54,515;0;0,946;10,066;0;0,535
"464";0,684;0,478;0,14;0,227;0,474;0,925;1,395;94,484;0;0,165;0,92;0;0,108
"465";0,807;4,844;0,998;0,162;2,163;19,288;0,524;49,404;0;0,997;20,125;0;0,688
"466";23,036;3,703;1,143;1,258;1,743;2,702;1,221;53,885;0;1,377;9,31;0;0,621
"467";0,031;1,756;0,714;2,09;2,587;35,718;0,833;42,885;0;1,344;6,932;0;5,111
"468";0,882;9,796;1,36;0,339;3,58;5,683;1,568;64,164;0;1,388;8,966;0;2,273
"469";0,325;1,92;0,906;0,39;1,419;6,801;10,227;73,008;0;0,89;2,143;0;1,971
"470";0,837;2,437;1,343;3,002;1,21;5,013;4,082;50,698;0;0,614;30,022;0;0,741
"471";0,135;3,98;2,538;0,071;3,508;3,358;1,177;70,616;0;0,235;13,511;0;0,87
"472";0,583;1,924;0,727;0,33;20,824;5,262;4,547;54,897;0;0,235;4,031;0;6,639
"473";0,685;1,342;1,325;0,929;2,438;3,323;0,264;85,5;0;0,382;3,814;0;0
"474";0,108;1,923;0,456;0,148;1,046;2,351;1,969;88,932;0;0,276;2,213;0;0,578
"475";0,483;1,783;6,837;0,692;4,358;2,732;1,689;69,534;0;0,308;11,001;0;0,581
"476";0,58;7,533;1,402;0,33;2,978;3,338;2,69;61,373;0;0,691;18,542;0;0,543
"477";0,137;2,507;1,16;0,388;13,142;33,466;0,862;42,013;0;0,626;4,31;0;1,388
"478";0,318;53,027;5,188;0,156;1,837;2,349;0,772;34,559;0;0,148;1,292;0;0,354
"479";0,478;15,611;2,283;1,288;2,445;13,063;1,966;56,374;0;0,659;4,647;0;1,186
"480";0,107;2,311;3,803;0,431;2,794;2,495;4,996;75,569;0;0,569;6,191;0;0,734
"481";0,196;4,345;4,853;0,168;2,672;2,012;0,961;78,993;0;0,439;4,935;0;0,428
"482";1,037;1,805;1,58;0,441;3,007;10,944;0,643;72,656;0;0,87;5,647;0;1,37
"483";0,327;4,905;0,74;0,219;2,396;1,83;48,311;29,728;0;1,818;7,504;0;2,222
"484";0,661;3,127;2,534;6,1;7,668;2,148;0,31;69,611;0;0,284;4,636;0;2,922
"485";0,914;7,499;2,176;0,607;4,857;4,258;1,44;61,807;0;0,676;2,701;0;13,066
"486";0,178;0,647;0,96;0,248;1,123;2,099;0,493;73,852;0;16,824;3,012;0;0,563
"487";0,445;2,733;1,654;0,145;6,369;2,428;0,482;74,867;0;0,651;8,269;0;1,957
"488";0,662;2,251;1,806;0,259;2,543;3,321;2,227;81,906;0;1,379;3,295;0;0,35
"489";0,276;3,391;1,559;0,809;1,583;9,699;0,699;76,827;0;0,466;4,484;0;0,206
"490";0,384;1,27;2,109;0,632;9,593;22,532;0,705;20,668;0;0,651;41,137;0;0,319
"491";0,268;7,291;3,847;3,502;7,371;6,762;1,13;49,847;0;0,213;11,836;0;7,934
"492";0,289;2,134;2,32;0,341;6,043;4,216;5,327;71,918;0;0,3;4,137;0;2,974
"493";0,32;1,935;8,872;0,311;1,767;3,1;3,889;55,209;0;0,807;4,3;0;19,489
"494";0,07;1,501;0,248;0,069;0,356;0,969;0,065;93,606;0;0,195;2,603;0;0,318
"495";0,274;5,876;8,211;0,188;39,598;1,895;2,878;21,767;0;0,327;4,896;0;14,091
"496";1,167;1,434;2,092;0,153;2,713;1,175;0,426;33,402;0;14,707;41,176;0;1,556
"497";0,154;0,716;0,769;1,46;0,698;13,15;0,456;64,671;0;0,13;17,391;0;0,408
"498";1,579;23,87;1,427;0,357;2,798;1,657;11,461;40,005;0;0,161;16,205;0;0,481
"499";0,542;7,584;1,475;0,513;1,728;5,407;4,998;66,157;0;0,653;10,943;0;0
"500";3,546;8,484;2,009;2,702;3,252;6,862;3,293;44,335;0;0,462;23,754;0;1,302
"501";0,281;2,038;0,625;2,803;2,284;2,157;1,121;79,227;0;0,475;6,628;0;2,361
"502";0,084;1,14;0,216;0,03;0,337;0,408;0,032;95,601;0;0,092;1,995;0;0,066
"503";0,067;0,728;0,362;0,185;10,129;3,828;0,278;78,605;0;1,347;1,4;0;3,071
"504";0,484;6,993;1,216;1,099;3,153;2,657;11,924;65,83;0;0,374;5,747;0;0,522
"505";0,069;1,576;0,994;1,288;1,086;77,571;0,293;15,566;0;0,433;0,854;0;0,27
"506";2,452;2,895;14,906;0,225;11,749;6,779;2,775;44,577;0;3,81;8,346;0;1,484
"507";8,706;7,1;0,687;0,448;2,053;2,043;7,892;60,93;0;1,654;6,97;0;1,517
"508";1,699;4,881;1,381;0,297;3,817;2,376;1,067;76,103;0;0,213;6,316;0;1,85
"509";0,588;4,413;2,922;0,274;8,483;3,832;7,298;50,382;0;1,575;17,643;0;2,591
"510";0,104;0,513;0,063;0,056;0,149;0,676;0,098;97,316;0;0,17;0,697;0;0,157
"511";0,216;0,573;0,794;0,168;0,907;0,815;0,437;91,92;0;0,084;2,868;0;1,218
"512";0,197;14,225;6,475;0,297;1,723;2,853;0,245;69,235;0;0,195;4,226;0;0,329
"513";0,451;41,088;0,717;0,569;11,193;2,129;2,617;34,225;0;1,991;4,509;0;0,512
"514";1,546;4,616;0,898;0,732;6,276;9,446;0,59;65,934;0;0,579;7,878;0;1,508
"515";0,042;0,329;0,266;0,273;0,395;0,216;68,729;8,02;0;0,018;21,652;0;0,061
"516";0,183;0,684;2,694;0,005;9,084;0,618;0,353;82,147;0;0,095;3,874;0;0,263
"517";0,789;0,796;0,711;0,224;1,458;1,056;0,88;90,448;0;0,088;3,55;0;0
"518";0,214;1,259;0,573;0,319;0,942;3,016;0,721;48,444;0;0,135;41,991;0;2,387
"519";0,25;1,783;0,574;0,226;71,561;1,274;0,607;16,555;0;0,299;6,755;0;0,116
"520";1,837;5,828;1,149;0,204;1,728;1,713;0,623;36,729;0;0,445;43,923;0;5,821
"521";0,278;0,796;28,804;0,139;2,176;1,229;0,499;56,944;0;0,352;8,021;0;0,763
"522";3,126;2,869;1,921;0,337;4,579;6,369;3,172;71,998;0;0,317;3,618;0;1,695
"523";0,019;0,437;0,05;91,27;0,198;0,503;0,042;7,194;0;0,139;0,105;0;0,043
"524";2,305;2,816;0,764;0,368;2,731;2,309;0,776;81,747;0;0,849;3,411;0;1,922
"525";1,439;1,431;2,38;4,331;2,965;4,21;4,798;75,028;0;0,289;2,569;0;0,561
"526";0,49;4,461;0,983;0,181;10,386;3,526;1,897;58,012;0;0,676;3,055;0;16,336
"527";0,473;11,079;2,126;0,683;10,468;6,904;0,868;58,528;0;1,068;5,852;0;1,951
"528";0,644;10,65;3,85;0,837;0,977;19,149;1,09;58,728;0;0,262;3,692;0;0,122
"529";0,213;1,225;1,156;0,308;4,857;3,086;0,261;70,737;0;0,769;11,696;0;5,692
"530";0,318;10,598;1,39;0,823;4,619;3,57;1,25;71,56;0;0,249;3,981;0;1,643
"531";0,306;5,792;2,658;0,141;2,486;5,799;1,018;60,628;0;0,551;14,015;0;6,604
