"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";16,316;0,366;0,116;0,07;0,264;0,221;0,421;1,37;51,015;28,518;1,232;0,01;0,081;0
"2";15,106;0,705;0,269;0,058;0,311;0,589;1,491;2,499;77,019;1,397;0,543;0,005;0,008;0
"3";9,309;1,509;1,007;0,043;2,48;0,503;2,249;5,393;48,291;27,128;0,403;0,032;1,652;0
"4";31,429;5,687;0,02;0,183;0,13;0,417;0,54;1,292;43,35;16,744;0,157;0,03;0,021;0
"5";3,214;0,368;0,127;0,189;0,107;0,087;0,791;1,002;90,919;2,89;0,186;0,11;0,01;0
"6";20,929;2,063;0,414;0,194;0,194;1,317;1,149;1,498;59,594;12,11;0,503;0,013;0,022;0
"7";44,803;1,726;0,135;0,196;0,184;0,119;0,552;2,41;35,54;13,621;0,667;0,026;0,019;0
"8";5,132;1,156;1,99;0,161;0,17;0,481;0,487;3,977;83,368;2,701;0,309;0,058;0,009;0
"9";19,914;0,665;0,162;0,61;1,872;0,153;1,65;6,744;62,611;5,263;0,307;0,012;0,038;0
"10";11,661;1,205;0,148;0,215;0,144;0,107;0,348;0,742;67,474;17,767;0,168;0,014;0,007;0
"11";17,212;0,928;0,32;0,283;0,226;0,187;0,792;1,462;70,415;7,976;0,174;0,008;0,016;0
"12";10,485;1,818;0,53;0,048;0,338;0,214;0,762;1,104;72,246;11,83;0,518;0,103;0,005;0
"13";3,311;1,004;0,189;0,682;0,276;0,909;0,593;1,057;83,147;8,688;0,113;0,011;0,02;0
"14";13,385;0,973;0,176;0,126;1,76;0,244;2,15;1,312;65,489;14,019;0,271;0,027;0,068;0
"15";9,072;1,196;0,064;0,11;0,806;0,636;1,395;6,593;72,008;7,24;0,479;0,039;0,362;0
"16";34,993;1,612;0,042;0,103;0,063;0,47;0,621;3,117;55,133;3,556;0,199;0,025;0,066;0
"17";3,641;0,413;0,046;0,037;2,338;0,233;0,46;1,405;82,323;8,976;0,084;0,006;0,038;0
